ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE
241,50000,1,1,2,39
242,50000,2,2,2,27
243,180000,2,1,2,32
244,30000,2,1,2,40
245,20000,2,2,2,40
246,250000,2,2,1,75
247,100000,2,2,2,27
248,330000,1,1,2,25
249,50000,1,3,1,46
250,50000,2,2,2,26
251,30000,1,2,2,28
252,140000,2,2,2,26
253,160000,2,1,2,28
254,400000,2,2,2,29
255,50000,1,2,1,25
256,140000,2,2,1,48
257,160000,2,2,1,33
258,100000,2,3,1,43
259,220000,1,1,1,48
260,510000,2,1,2,29
261,50000,1,2,2,29
262,160000,2,1,1,38
263,230000,2,1,2,37
264,80000,2,1,2,37
265,150000,2,2,1,25
266,10000,1,3,2,23
267,130000,2,3,2,49
268,40000,2,1,2,48
269,50000,1,2,2,27
270,100000,1,3,2,32
271,120000,1,1,1,34
272,260000,2,1,2,58
273,200000,2,2,2,33
274,360000,2,2,2,28
275,70000,2,2,2,36
276,460000,1,1,1,40
277,50000,2,1,2,26
278,50000,1,3,1,33
279,250000,2,2,1,31
280,30000,2,1,2,27
281,270000,1,2,1,44
282,180000,2,3,2,30
283,100000,2,1,2,28
284,230000,2,3,1,32
285,210000,2,1,1,46
286,210000,1,1,2,38
287,440000,2,2,1,46
288,100000,2,2,2,25
289,240000,2,2,1,46
290,280000,1,1,2,33
291,50000,2,2,2,22
292,30000,1,2,1,43
293,10000,1,2,2,27
294,130000,1,1,2,29
295,200000,1,1,2,31
296,120000,2,2,1,29
297,210000,2,2,1,36
298,280000,2,1,1,36
299,300000,1,1,2,34
300,100000,1,2,2,37
301,440000,2,1,2,36
302,50000,2,3,1,40
303,20000,2,1,2,25
304,200000,2,1,2,27
305,110000,2,2,2,26
306,500000,2,2,1,36
307,300000,2,2,1,27
308,30000,1,3,1,55
309,60000,2,1,2,27
310,400000,2,2,1,38
311,180000,2,2,1,34
312,20000,1,1,2,40
313,200000,2,3,1,49
314,100000,1,1,2,27
315,60000,1,2,2,23
316,110000,2,2,2,36
317,260000,2,3,1,53
318,50000,2,3,1,46
319,180000,1,2,2,29
320,110000,1,2,2,29
321,340000,2,1,2,27
322,50000,1,2,2,24
323,230000,2,2,1,28
324,360000,2,2,2,32
325,210000,1,2,2,43
326,220000,2,2,1,41
327,60000,2,2,1,34
328,340000,1,2,1,55
329,150000,1,1,1,40
330,200000,2,2,1,37
331,130000,2,2,2,40
332,60000,2,1,2,28
333,400000,2,2,1,43
334,20000,1,1,2,27
335,190000,2,1,2,28
336,260000,2,1,2,30
337,140000,2,2,2,31
338,50000,2,2,1,31
339,120000,2,1,2,34
340,240000,2,2,2,30
341,50000,1,2,2,36
342,200000,2,1,2,29
343,180000,1,1,1,39
344,180000,2,1,2,26
345,160000,2,1,2,29
346,100000,2,2,2,26
347,50000,2,2,2,29
348,140000,2,2,2,31
349,30000,2,2,2,26
350,90000,1,1,2,26
351,200000,1,1,1,36
352,380000,1,1,2,30
353,80000,2,2,2,43
354,50000,1,3,1,58
355,180000,1,2,1,45
356,240000,2,2,2,26
357,380000,1,2,2,34
358,110000,2,4,2,24
359,260000,1,1,1,34
360,500000,2,2,2,23
361,320000,2,2,2,30
362,50000,1,2,2,32
363,110000,1,1,1,40
364,230000,2,1,2,35
365,330000,2,2,1,56
366,50000,2,2,1,61
367,10000,1,2,2,24
368,300000,1,1,1,40
369,20000,2,2,1,32
370,180000,1,2,1,36
371,160000,1,1,2,30
372,90000,2,1,2,34
373,30000,1,3,3,54
374,180000,1,1,1,46
375,30000,1,3,1,58
376,30000,1,2,1,43
377,140000,2,1,2,28
378,210000,1,1,2,30
379,50000,1,2,2,31
380,130000,2,2,2,29
381,50000,2,2,1,37
382,140000,1,3,1,36
383,170000,2,2,2,28
384,80000,1,2,2,25
385,410000,2,5,1,42
386,80000,2,1,2,29
387,80000,1,3,1,73
388,150000,1,2,1,43
389,260000,1,1,1,30
390,350000,1,1,1,38
391,280000,2,2,1,39
392,310000,1,2,1,44
393,140000,2,2,2,29
394,360000,1,1,1,51
395,140000,2,1,2,27
396,100000,1,1,2,38
397,50000,2,2,2,22
398,210000,2,2,1,30
399,120000,2,2,2,25
400,240000,1,1,2,29
401,60000,2,3,3,42
402,150000,1,1,2,41
403,30000,1,2,1,48
404,160000,2,1,2,29
405,200000,1,1,1,52
406,120000,2,2,1,25
407,500000,1,1,1,37
408,320000,2,1,2,27
409,280000,1,1,2,31
410,60000,2,1,2,23
411,200000,2,1,1,38
412,230000,2,1,1,32
413,230000,2,2,2,27
414,480000,2,3,1,41
415,50000,2,3,1,35
416,200000,2,1,2,31
417,50000,2,1,2,30
418,50000,1,2,1,48
419,260000,2,1,2,36
420,30000,1,1,2,24
421,440000,2,1,2,29
422,230000,2,2,2,38
423,200000,1,2,1,38
424,490000,2,2,1,30
425,80000,2,2,1,32
426,20000,2,3,2,49
427,170000,2,1,2,31
428,70000,1,1,2,27
429,210000,2,2,2,33
430,90000,2,2,2,25
431,390000,2,1,2,27
432,110000,2,1,2,29
433,580000,2,1,1,36
434,360000,1,3,1,55
435,270000,2,2,1,32
436,60000,2,1,2,27
437,110000,1,3,1,37
438,50000,2,1,1,25
439,80000,2,1,2,23
440,50000,1,2,2,23
441,100000,1,1,2,32
442,30000,2,1,2,26
443,200000,2,1,2,27
444,240000,1,1,2,44
445,220000,1,2,2,34
446,160000,2,1,2,28
447,180000,2,1,1,53
448,200000,1,4,1,42
449,140000,2,3,1,30
450,380000,1,1,1,51
451,600000,1,1,1,53
452,260000,1,2,2,37
453,200000,2,1,2,26
454,80000,1,2,2,42
455,40000,1,2,2,39
456,130000,1,3,2,39
457,50000,1,1,2,32
458,230000,2,2,1,41
459,70000,1,2,1,48
460,180000,2,2,1,38
461,80000,2,2,1,36
462,290000,2,2,2,26
463,230000,2,1,2,28
464,170000,2,3,3,56
465,230000,1,1,1,59
466,220000,1,1,2,38
467,230000,1,2,2,32
468,500000,1,2,1,38
469,90000,2,1,1,41
470,390000,2,3,2,35
471,400000,2,2,2,41
472,180000,1,2,1,34
473,60000,1,3,1,38
474,120000,2,2,1,32
475,60000,2,2,2,29
476,50000,1,1,2,44
477,70000,2,2,1,37
478,500000,2,1,1,38
479,200000,1,1,2,31
480,250000,2,2,1,40
481,140000,1,2,2,26
482,70000,2,2,2,28
483,90000,1,3,1,48
484,100000,2,2,1,43
485,190000,1,2,1,31
486,230000,2,1,1,42
487,320000,1,2,1,39
488,220000,2,2,1,36
489,260000,2,1,1,34
490,90000,2,2,2,32
491,30000,2,2,1,43
492,260000,1,2,2,30
493,170000,2,2,2,28
494,80000,2,1,1,28
495,50000,1,1,1,41
496,200000,2,3,2,47
497,20000,1,2,2,23
498,250000,2,1,1,49
499,20000,1,1,1,38
500,30000,2,2,1,38
501,90000,2,2,1,35
502,230000,2,6,2,46
503,130000,2,1,1,33
504,30000,1,6,1,53
505,160000,1,1,2,35
506,500000,2,2,2,43
507,180000,2,2,2,28
508,80000,2,2,1,30
509,120000,1,1,2,26
510,130000,1,2,1,31
511,120000,2,2,2,35
512,360000,1,1,2,28
513,50000,1,2,2,23
514,20000,2,2,2,23
515,100000,1,3,1,56
516,70000,1,3,1,32
517,50000,1,2,1,47
518,10000,2,2,2,22
519,290000,2,1,1,34
520,30000,2,1,1,31
521,410000,2,2,2,27
522,360000,1,1,2,28
523,140000,2,2,1,42
524,210000,2,1,2,32
525,220000,2,2,2,27
526,20000,1,2,2,27
527,620000,2,2,1,45
528,360000,1,1,2,26
529,20000,2,2,2,21
530,50000,1,2,2,23
531,50000,1,2,3,30
532,10000,1,2,2,46
533,100000,2,3,1,50
534,50000,1,1,2,26
535,60000,1,2,2,25
536,440000,2,1,2,35
537,120000,1,2,1,44
538,50000,2,1,2,52
539,110000,2,2,1,40
540,200000,2,1,2,38
541,150000,2,1,2,28
542,30000,2,2,1,36
543,100000,2,1,2,24
544,360000,2,1,1,34
545,390000,2,1,2,31
546,220000,2,1,1,41
547,160000,2,2,2,25
548,230000,2,1,2,28
549,120000,1,1,2,27
550,100000,1,3,1,52
551,190000,2,1,2,41
552,50000,1,1,1,56
553,240000,2,1,1,42
554,40000,2,2,2,24
555,630000,2,2,1,47
556,160000,2,1,1,33
557,110000,2,2,2,32
558,20000,1,2,2,29
559,210000,2,3,1,53
560,270000,1,1,2,34
561,360000,2,2,2,52
562,60000,2,2,1,42
563,360000,1,2,2,38
564,390000,2,1,2,45
565,250000,2,3,2,35
566,90000,2,1,2,24
567,360000,1,1,2,28
568,50000,1,3,2,26
569,270000,2,1,1,40
570,200000,2,1,2,29
571,50000,2,2,2,23
572,350000,1,1,2,33
573,160000,2,2,2,60
574,80000,2,3,1,49
575,290000,1,1,1,53
576,270000,2,1,2,28
577,80000,1,1,2,31
578,50000,1,2,2,36
579,30000,1,2,1,35
580,30000,1,2,2,28
581,90000,1,2,2,33
582,160000,1,1,2,26
583,80000,2,3,2,53
584,50000,1,2,2,42
585,20000,2,1,2,25
586,220000,1,1,1,43
587,210000,1,3,2,25
588,130000,2,2,2,29
589,260000,2,2,1,31
590,230000,2,1,1,30
591,160000,1,1,2,34
592,50000,1,1,1,35
593,80000,1,2,1,32
594,110000,1,3,2,46
595,200000,1,1,1,43
596,360000,1,2,2,29
597,210000,2,3,2,31
598,80000,2,2,2,24
599,300000,2,2,1,36
600,310000,2,2,1,43
601,30000,1,3,1,59
602,170000,1,1,1,53
603,140000,2,2,2,28
604,180000,2,2,2,31
605,50000,1,1,2,34
606,50000,2,2,1,36
607,110000,2,1,2,24
608,450000,2,3,1,36
609,200000,2,2,1,34
610,220000,1,1,2,43
611,360000,2,1,2,29
612,50000,1,2,1,37
613,40000,1,2,2,23
614,190000,2,2,1,37
615,150000,1,1,2,33
616,200000,2,1,1,37
617,270000,2,2,1,56
618,60000,1,1,2,25
619,200000,2,2,1,39
620,150000,2,2,1,39
621,180000,2,2,2,28
622,90000,2,1,2,27
623,360000,2,2,1,37
624,90000,2,1,2,24
625,20000,2,2,2,24
626,70000,1,1,1,46
627,230000,1,1,1,39
628,30000,1,3,1,48
629,200000,2,3,3,45
630,100000,1,3,2,49
631,50000,2,2,2,23
632,20000,2,3,1,25
633,210000,2,2,1,47
634,110000,1,3,1,56
635,20000,2,3,1,44
636,50000,2,3,1,49
637,50000,1,2,1,41
638,400000,2,1,2,40
639,170000,1,2,2,31
640,280000,1,2,1,42
641,130000,2,3,1,28
642,210000,2,2,2,32
643,370000,1,2,2,28
644,30000,2,2,1,31
645,150000,1,3,2,39
646,60000,1,3,1,31
647,80000,2,2,2,24
648,280000,2,2,1,44
649,20000,2,2,2,46
650,270000,1,1,2,32
651,240000,2,2,2,26
652,20000,2,1,2,22
653,450000,2,1,1,42
654,10000,1,2,2,33
655,280000,1,2,1,39
656,290000,2,3,2,27
657,190000,2,1,2,28
658,80000,2,1,2,23
659,280000,2,2,2,28
660,160000,2,1,1,33
661,90000,1,2,1,40
662,140000,2,1,2,37
663,50000,1,1,2,22
664,40000,2,2,1,32
665,130000,2,3,1,43
666,70000,2,3,1,27
667,30000,2,2,1,35
668,100000,2,3,1,35
669,20000,2,1,1,30
670,30000,2,2,2,34
671,20000,1,2,1,34
672,100000,2,1,2,28
673,30000,1,2,2,25
674,320000,2,1,1,41
675,90000,1,3,2,42
676,190000,1,2,2,40
677,200000,1,1,2,28
678,300000,2,2,2,31
679,30000,2,1,2,56
680,110000,2,2,3,45
681,230000,2,1,2,29
682,230000,2,1,1,35
683,310000,2,2,2,28
684,320000,1,1,1,40
685,360000,1,1,1,47
686,20000,2,3,1,41
687,170000,2,2,2,27
688,140000,1,1,1,40
689,80000,1,2,2,32
690,150000,1,2,2,35
691,170000,1,2,2,27
692,200000,2,2,1,29
693,70000,1,1,2,30
694,320000,1,2,1,37
695,150000,2,1,2,29
696,50000,2,1,1,34
697,90000,2,2,2,34
698,280000,1,1,1,41
699,300000,2,1,2,31
700,400000,2,2,2,40
701,200000,2,1,1,27
702,10000,2,3,2,22
703,50000,2,2,3,30
704,30000,2,2,3,22
705,50000,1,1,2,26
706,50000,1,2,1,38
707,30000,2,3,1,46
708,20000,1,2,2,24
709,20000,1,2,2,49
710,50000,1,1,3,49
711,30000,2,2,1,42
712,360000,2,1,1,30
713,170000,1,2,1,42
714,400000,2,1,2,31
715,50000,2,2,1,49
716,160000,2,2,2,27
717,70000,2,2,1,33
718,150000,2,1,1,35
719,80000,2,2,2,48
720,30000,2,2,2,22
721,10000,1,2,2,22
722,180000,2,1,2,27
723,320000,1,1,1,47
724,80000,2,2,2,34
725,10000,1,2,1,45
726,360000,2,2,2,39
727,450000,1,2,2,33
728,330000,2,2,2,29
729,60000,1,1,2,29
730,50000,2,3,2,26
731,200000,1,2,1,38
732,120000,1,1,2,34
733,160000,2,1,1,37
734,110000,1,2,1,57
735,70000,2,3,1,50
736,150000,2,3,2,28
737,610000,2,1,2,31
738,110000,2,1,2,25
739,80000,2,2,2,25
740,170000,2,2,1,33
741,110000,2,1,2,30
742,140000,2,1,1,51
743,70000,1,1,2,51
744,260000,2,2,1,46
745,170000,1,3,2,38
746,50000,2,2,1,34
747,300000,2,3,1,34
748,150000,2,1,2,31
749,50000,2,2,2,25
750,50000,2,2,1,26
751,90000,2,1,2,25
752,50000,1,2,2,26
753,500000,2,2,2,43
754,470000,2,2,1,36
755,230000,1,2,2,58
756,140000,2,2,2,26
757,230000,2,2,1,30
758,420000,2,2,2,31
759,30000,2,2,2,24
760,50000,2,2,2,52
761,140000,2,2,2,24
762,260000,2,2,1,35
763,90000,2,3,2,29
764,240000,2,2,1,33
765,510000,2,1,2,35
766,110000,2,2,1,35
767,210000,2,1,2,28
768,220000,1,2,1,40
769,200000,2,1,1,35
770,360000,2,2,2,53
771,260000,1,1,2,44
772,20000,1,2,1,33
773,120000,2,2,1,32
774,50000,2,1,2,33
775,60000,2,1,2,26
776,200000,1,1,2,26
777,20000,1,2,2,26
778,50000,2,1,1,32
779,50000,2,2,2,31
780,230000,1,1,2,29
781,50000,1,2,1,27
782,100000,2,1,2,28
783,210000,2,1,1,42
784,230000,2,2,1,32
785,500000,2,1,2,26
786,370000,2,1,2,38
787,230000,2,1,1,35
788,80000,1,2,2,29
789,60000,2,2,2,29
790,30000,2,2,2,51
791,70000,1,1,2,27
792,410000,1,1,2,32
793,280000,2,3,1,40
794,50000,2,1,1,34
795,100000,2,2,1,30
796,230000,2,1,2,29
797,50000,2,1,2,22
798,100000,2,1,2,48
799,210000,2,2,1,35
800,400000,1,1,2,37
801,20000,1,2,2,25
802,50000,2,3,1,44
803,230000,2,1,2,28
804,220000,1,2,2,29
805,300000,2,1,1,36
806,80000,2,2,2,23
807,20000,2,3,2,36
808,190000,2,1,2,26
809,160000,2,2,0,37
810,120000,2,1,3,44
811,700000,2,1,1,39
812,140000,2,1,2,24
813,300000,2,3,1,29
814,120000,1,3,1,33
815,280000,2,2,1,39
816,70000,1,3,1,51
817,20000,2,3,2,24
818,150000,2,2,1,45
819,60000,1,1,2,30
820,200000,2,3,0,51
821,50000,2,2,2,24
822,150000,1,2,1,50
823,20000,2,1,2,22
824,40000,1,1,2,27
825,170000,2,2,2,33
826,50000,2,2,1,24
827,10000,1,2,2,37
828,200000,2,2,1,58
829,50000,2,2,1,48
830,320000,1,1,2,28
831,20000,2,3,1,24
832,470000,2,2,1,27
833,230000,2,3,2,30
834,20000,2,1,2,23
835,30000,2,3,2,53
836,80000,2,2,2,23
837,110000,2,2,1,55
838,420000,1,2,1,34
839,500000,1,1,1,43
840,80000,2,2,2,22
841,350000,2,2,1,31
842,30000,2,2,1,32
843,110000,2,2,2,33
844,500000,1,3,1,39
845,490000,2,1,1,38
846,300000,2,2,1,34
847,50000,1,2,3,42
848,150000,1,3,1,37
849,80000,2,3,1,57
850,40000,2,2,2,23
851,30000,1,2,2,32
852,50000,1,1,1,37
853,140000,2,2,2,23
854,50000,2,3,2,49
855,30000,2,2,2,25
856,40000,2,1,2,29
857,100000,2,3,1,43
858,130000,1,2,2,29
859,20000,2,2,2,27
860,50000,1,1,2,26
861,260000,1,1,1,41
862,30000,2,3,2,52
863,10000,2,2,1,31
864,200000,1,1,2,32
865,30000,2,2,1,46
866,180000,2,2,2,35
867,100000,1,1,2,35
868,140000,2,2,1,39
869,290000,2,2,2,34
870,20000,2,2,3,52
871,80000,2,3,1,40
872,500000,2,3,1,38
873,180000,1,1,1,45
874,20000,2,3,1,40
875,30000,2,2,1,25
876,150000,1,1,2,33
877,280000,2,2,2,27
878,50000,2,2,1,43
879,20000,2,2,1,43
880,200000,1,1,2,30
881,210000,2,2,1,49
882,230000,2,1,2,38
883,50000,1,3,2,57
884,50000,1,3,2,55
885,70000,2,2,2,23
886,310000,1,1,2,30
887,180000,2,2,1,30
888,90000,2,2,2,24
889,390000,1,2,2,28
890,150000,2,3,1,34
891,400000,1,2,2,37
892,80000,2,2,1,32
893,320000,1,1,2,27
894,240000,2,2,1,37
895,200000,1,1,2,31
896,110000,1,1,3,55
897,170000,2,1,2,28
898,90000,2,3,3,51
899,200000,1,1,1,36
900,360000,1,1,2,30
901,140000,2,1,1,36
902,220000,1,2,2,25
903,100000,1,3,1,50
904,80000,2,2,2,40
905,30000,2,2,2,27
906,50000,1,1,2,30
907,120000,2,2,2,26
908,50000,1,1,2,27
909,360000,2,1,2,27
910,90000,2,1,2,25
911,500000,1,1,2,32
912,140000,2,3,1,46
913,30000,1,3,1,45
914,70000,1,3,1,30
915,200000,1,1,1,39
916,350000,1,1,1,48
917,120000,1,1,2,32
918,240000,1,1,2,46
919,90000,2,1,2,23
920,260000,2,1,2,33
921,50000,2,1,2,24
922,110000,1,1,1,40
923,20000,2,1,2,24
924,30000,2,2,2,24
925,180000,1,1,2,27
926,20000,1,2,1,46
927,50000,2,2,2,22
928,180000,2,1,2,36
929,200000,1,1,1,34
930,260000,2,2,2,24
931,320000,1,1,1,60
932,160000,2,2,2,29
933,30000,1,2,2,32
934,50000,2,2,1,36
935,50000,1,2,2,30
936,90000,2,2,2,29
937,240000,1,1,2,34
938,180000,2,2,1,32
939,200000,2,2,1,32
940,50000,2,1,2,25
941,50000,1,2,1,44
942,330000,2,1,1,37
943,80000,2,2,2,24
944,50000,2,2,2,23
945,360000,2,1,2,29
946,240000,2,2,1,37
947,50000,1,2,1,59
948,470000,1,2,2,33
949,160000,2,3,1,51
950,30000,1,1,1,27
951,80000,2,2,1,32
952,500000,2,3,2,42
953,180000,1,2,2,39
954,110000,2,2,1,46
955,160000,1,1,1,41
956,210000,2,2,2,30
957,200000,2,1,1,34
958,350000,1,1,2,35
959,250000,1,1,2,41
960,380000,1,1,2,43
961,30000,1,2,2,47
962,200000,1,2,2,31
963,30000,1,2,2,30
964,50000,1,2,2,24
965,500000,1,1,1,36
966,30000,1,1,2,28
967,220000,2,1,1,36
968,20000,2,2,1,27
969,180000,2,2,1,32
970,300000,1,1,1,42
971,130000,2,2,1,33
972,180000,2,3,1,39
973,150000,2,1,3,30
974,140000,1,2,1,30
975,50000,2,2,2,22
976,20000,1,2,2,25
977,180000,1,1,2,28
978,180000,1,2,2,26
979,150000,2,3,1,54
980,70000,2,1,2,24
981,30000,1,2,2,29
982,500000,1,1,2,36
983,60000,1,3,1,49
984,50000,2,1,2,23
985,130000,1,3,2,43
986,260000,2,2,1,33
987,380000,1,3,1,53
988,360000,2,2,2,25
989,50000,1,3,1,54
990,50000,2,3,1,39
991,260000,2,1,1,44
992,80000,2,2,2,27
993,360000,2,1,2,25
994,290000,2,1,2,29
995,200000,1,1,2,39
996,140000,1,1,1,45
997,360000,1,1,1,38
998,50000,2,2,2,23
999,120000,1,2,2,25
1000,100000,1,2,1,29
1001,200000,2,2,1,28
1002,90000,2,2,1,40
1003,360000,1,1,2,36
1004,150000,2,3,2,30
1005,140000,1,1,2,29
1006,200000,2,2,2,36
1007,170000,2,2,1,37
1008,30000,1,2,2,34
1009,80000,2,1,2,27
1010,280000,1,1,2,31
1011,410000,2,1,1,31
1012,450000,1,1,2,38
1013,80000,1,2,2,36
1014,360000,1,1,1,46
1015,130000,2,1,1,36
1016,160000,2,1,2,26
1017,140000,2,3,2,57
1018,240000,2,3,1,40
1019,180000,2,3,0,45
1020,70000,1,1,3,57
1021,150000,2,2,2,25
1022,210000,2,3,1,37
1023,200000,2,1,1,35
1024,310000,1,2,2,33
1025,180000,1,1,1,38
1026,300000,1,2,2,31
1027,450000,2,1,2,41
1028,200000,1,1,2,33
1029,30000,2,2,1,67
1030,400000,2,1,1,40
1031,170000,1,1,2,33
1032,140000,2,1,2,31
1033,200000,2,2,2,35
1034,60000,2,2,3,39
1035,60000,1,2,2,27
1036,150000,1,1,2,23
1037,180000,1,3,1,54
1038,50000,2,3,2,23
1039,50000,1,3,2,24
1040,20000,1,2,2,26
1041,230000,2,2,2,52
1042,110000,2,2,1,42
1043,90000,2,1,2,36
1044,20000,2,1,2,22
1045,30000,2,1,2,23
1046,220000,1,3,1,30
1047,140000,2,3,2,24
1048,300000,2,1,1,42
1049,100000,1,2,1,49
1050,110000,1,2,2,31
1051,270000,2,3,2,33
1052,30000,1,1,1,42
1053,70000,1,3,2,41
1054,230000,1,2,1,53
1055,20000,1,2,2,23
1056,190000,2,1,2,33
1057,20000,2,2,1,29
1058,80000,2,3,1,67
1059,20000,1,3,1,33
1060,60000,2,3,1,34
1061,50000,1,2,1,49
1062,280000,2,2,1,56
1063,300000,1,1,1,42
1064,30000,2,3,1,55
1065,270000,2,2,1,25
