ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
56,1905,3640,162,0,151,2530
57,16386,15793,8441,7142,-679,8321
58,175886,173440,172308,168608,132202,129918
59,1587,1098,782,1166,700,1414
60,400134,398857,404205,360199,356656,364089
61,22848,23638,18878,14937,13827,15571
62,70800,72060,69938,16518,14096,830
63,24987,24300,26591,25865,27667,28264
64,28718,29166,0,0,0,0
65,99,0,0,0,2353,0
66,152519,148751,144076,8174,8198,7918
67,2097,4193,3978,4062,4196,4326
68,300,300,1159,2280,300,4250
69,-190,-9850,-9850,10311,10161,7319
70,18565,17204,17285,18085,11205,5982
71,780,0,390,390,390,390
72,58267,59246,60184,58622,62307,63526
73,9076,5787,-684,5247,3848,3151
74,0,0,3155,0,2359,0
75,3048,5550,23337,4291,80153,25820
76,14619,17216,16642,16976,17332,18543
77,42838,37225,36087,9636,9590,10030
78,291,291,291,291,291,291
79,28387,29612,30326,28004,26446,6411
80,0,0,0,0,0,0
81,165254,157784,162702,69923,29271,29889
82,23411,27796,30400,33100,180000,196
83,26324,27471,28108,21993,19899,19771
84,131595,139060,126819,104430,104990,94058
85,48909,47863,21489,20414,19342,19482
86,130028,107808,71934,118418,118407,120418
87,390,1170,780,390,390,390
88,3826,4751,6604,8604,7072,766
89,81313,117866,17740,1330,7095,1190
90,8583,8303,9651,10488,12314,11970
91,138180,140774,142460,144098,147124,149531
92,7524,0,3968,3868,0,0
93,-2000,5555,0,0,0,0
94,880,1602,840,840,0,0
95,45648,46850,47214,19595,19209,19323
96,83725,85996,87653,35565,30942,30835
97,3967,8322,3394,6451,26370,9956
98,86009,86108,89006,89775,87725,40788
99,18722,18160,16997,13150,8866,7899
100,17973,19367,19559,18240,17928,150
101,672,10212,850,415,100,1430
102,-81,-303,32475,32891,33564,34056
103,422069,431342,479432,487066,471145,469961
104,44698,42254,38347,32496,23477,24094
105,56685,55208,59175,60218,55447,55305
106,5580,0,0,0,0,26529
107,6108,2861,3277,3319,1150,1150
108,713,2272,722,867,1150,5263
109,171438,178382,39940,120483,44127,126568
110,-103,-103,-103,-103,-103,-103
111,105879,108431,105594,105896,106491,107289
112,13244,14722,15181,15928,16671,17393
113,135673,138532,134813,144401,152174,149415
114,52128,52692,54477,56076,60100,59713
115,19015,19294,20259,20274,20311,19957
116,18199,17618,18631,21319,20692,21201
117,326,326,326,5676,476,326
118,14029,15493,16630,17055,17629,18186
119,19660,9666,11867,7839,14837,7959
120,50254,51445,53015,52479,1307,1203
121,46004,45976,48953,48851,49318,51143
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,304991,311243,306314,258610,246491,198889
125,19115,18962,19298,19378,19717,15630
126,0,0,0,0,0,0
127,110151,99530,98951,100914,103146,104993
128,163736,116422,99278,95766,97753,95927
129,3347,3899,4503,5347,6375,7077
130,60521,61450,57244,28853,29510,26547
131,4000,5645,3508,-27,13744,5906
132,95,2622,3301,3164,360,1737
133,253454,247743,229049,220951,210606,188108
134,227389,228719,229644,227587,227775,228203
135,28452,26145,26712,25350,17603,-780
136,10674,12035,13681,13269,14158,13891
137,17444,19342,22000,24614,27200,30229
138,7166,7997,8792,9189,4404,5708
139,752,300,5880,0,0,0
140,50801,50143,49586,19430,19375,18995
141,0,0,0,0,0,0
142,1832,0,832,332,416,416
143,10131,10833,20583,19996,19879,18065
144,12159,10000,10000,10000,9983,15846
145,1199,15586,344,2340,6702,339
146,4999,5913,7315,9195,10624,10138
147,19269,20313,20852,17560,17918,9100
148,197236,176192,93069,135668,132233,59875
149,9168,10522,10205,9898,10123,12034
150,-1100,-1100,21400,0,969,869
151,86627,78142,68336,64648,58319,55251
152,42444,55744,43476,41087,41951,31826
153,208,2906,1000,630,0,0
154,208775,182350,132257,101783,177145,169311
155,9014,10406,11427,11935,13084,14206
156,23944,28049,32073,43129,47086,48699
157,105420,102870,89643,90938,92505,94031
158,196031,196143,189524,167163,146975,122324
159,115785,122904,129847,137277,145533,154105
160,12854,12362,13447,13427,13711,14083
161,24357,27453,26718,28168,27579,28321
162,390,390,780,216,1080,540
163,1234,396,396,792,396,423
164,141223,156858,151841,152803,155997,160220
165,21148,23803,24908,26034,26655,27756
166,101640,104795,104855,74737,76058,77254
167,6093,15130,8204,15398,4792,13453
168,102349,96847,58824,29336,22979,-246
169,72112,73854,75526,77317,85852,88290
170,28040,29092,29366,27737,28318,28806
171,37695,33397,30534,27598,26344,24641
172,688,3280,0,4340,2672,800
173,8567,15273,11650,7457,3115,7725
174,-709,-709,-709,-2898,-3272,-3272
175,0,0,77,0,0,0
176,64617,65978,67282,68557,72796,71345
177,6187,100,600,1438,1919,5380
178,48860,47801,48363,30221,22877,22361
179,16001,12622,13221,13130,14034,14906
180,77883,81811,80250,61467,10662,11486
181,12212,26578,25331,26605,26279,1256
182,49608,12412,14873,17364,17770,17460
183,56422,110616,110340,122967,108834,70064
184,58024,57891,48839,18971,19323,19395
185,10642,11677,13070,12280,1615,1620
186,14483,13961,15323,16268,15868,16448
187,2616,57077,5287,68445,13881,16240
188,199436,202947,193936,196186,200162,189915
189,0,5396,10270,13576,13864,14636
190,21703,21087,21461,20835,20219,20487
191,59901,62147,62102,65875,60387,43328
192,19625,20347,21669,23005,22499,22873
193,11386,199,0,0,17227,17042
194,14670,22087,21282,10200,0,0
195,47790,18114,18250,-14,72,658
196,36166,37188,37680,38462,39228,40035
197,0,0,0,116,0,1500
198,18553,19446,19065,8332,18868,19247
199,412,138,2299,1251,1206,1151
200,29010,29256,28122,29836,1630,0
201,750,0,0,0,0,0
202,27123,27299,17985,20225,27407,10833
203,13424,18000,13001,5818,13506,487
204,107314,110578,113736,116000,119131,122135
205,226430,231878,234192,190211,173557,146511
206,227,20351,20237,19339,19450,19337
207,390,1473,390,390,390,0
208,3088,1586,343,3763,877,0
209,81625,81554,79599,49552,49509,49568
210,8872,4337,2854,1690,0,1709
211,105607,108917,111520,8303,0,85632
212,0,0,250,123,789,1222
213,38257,38901,38103,36207,33138,31339
214,28347,28108,18388,12992,7736,8032
215,296573,303320,307843,479978,305145,309959
216,390,390,390,240,1320,780
217,-946,-946,-946,-946,-946,-946
218,79278,78501,78534,80016,76235,78245
219,89989,84229,79288,73315,63818,63208
220,1424,4542,126,0,0,0
221,105167,115468,112157,114690,117845,120238
222,335196,334954,335527,333860,335760,330121
223,291619,297268,205629,215827,208464,212508
224,91653,94037,108597,65913,43805,33263
225,52626,51537,49205,30394,30249,29957
226,130370,131199,128900,125514,127280,128839
227,3265,2686,1864,569,0,0
228,16455,16511,18902,18768,18650,19175
229,49758,48456,44116,21247,20066,18858
230,19154,18165,17233,7630,1730,0
231,35084,35796,30937,19420,10385,1308
232,20235,17132,16856,16875,13454,10104
233,102800,0,0,2624,45567,46557
234,129801,131383,134379,142323,140120,150052
235,58203,36367,20934,20694,20175,19421
236,7988,3977,6848,1719,1378,19942
237,127402,110050,51547,44384,36900,29497
238,1440,0,7422,893,6082,2293
239,234205,231669,214642,207642,210375,214694
240,19346,21708,22940,19068,16409,16383
241,21501,20650,0,0,0,2285
242,47174,47974,48630,50803,30789,15874
243,26655,27724,28676,27990,28790,29399
244,3139,5853,2821,0,2821,0
245,142,215,139,19,19,79
246,19816,20396,20102,19575,0,0
247,52874,1631,1536,1010,5572,794
248,37767,34457,30036,30337,30997,32904
249,46140,45781,48139,51137,39450,25358
250,35713,15392,16099,16418,16765,17484
251,50867,51486,48869,30115,29527,29998
252,29242,29507,29155,25255,22001,0
253,101551,105246,104781,105334,107699,106828
254,70243,47779,28052,7222,99669,84426
255,19532,3719,1453,4944,1896,2486
256,27699,28513,29341,29928,29533,28538
257,1154,1233,862,1355,1130,21361
258,8015,2453,9624,52572,7333,2210
259,62170,0,0,0,0,0
260,210380,213522,201852,169115,172169,162402
261,78331,99414,107686,103776,87265,36739
262,49276,35100,32563,27823,29130,28309
263,4473,4664,5969,18941,16578,12652
264,2283,50815,0,0,299,338
265,10115,249,5986,188,1644,16872
266,6156,0,0,316,316,316
267,6974,7838,9002,9182,9729,9411
268,89003,91362,72197,49654,28065,27500
269,34871,34449,33634,34586,34762,35673
270,13694,14880,14242,13968,14319,2614
271,70003,31545,20974,19713,19848,18126
272,1082,632,1350,900,450,0
273,0,0,0,0,0,0
274,11253,12852,14024,14512,16325,11905
275,0,0,0,0,0,0
276,68699,69120,68376,30163,14310,15085
277,171,2715,-13,2641,-10,22535
278,1156,316,316,316,316,316
279,50859,50462,50654,20046,20067,19703
280,103109,102594,97109,99029,100871,101299
281,1512,2458,664,1814,0,0
282,127543,109189,92630,69669,44149,43414
283,163935,153152,147032,122196,103692,70204
284,53494,52656,52600,52336,55831,56265
285,195126,88743,92195,94814,98182,98457
286,110346,41986,21874,20076,16171,586
287,60502,62804,62769,62683,63663,46549
288,180641,181557,149944,113135,105280,97622
289,70896,71678,70125,69856,69718,51365
290,8751,9900,10605,10765,11765,4311
291,898,898,325,898,325,-339603
292,0,0,0,0,0,0
293,1700,2610,1914,2182,2000,2566
294,7015,10227,9560,9901,9963,10182
295,0,0,0,0,0,0
296,194353,197344,186292,133345,133634,133990
297,1686,657,2179,1423,0,1820
298,143225,142996,144415,148190,147993,131629
299,58983,60788,63225,29701,30172,30771
300,0,0,13001,12601,19595,203
301,99209,98222,67185,66926,66796,64513
302,0,0,0,0,0,0
303,49941,51213,12104,12898,13687,14458
304,11968,14564,27820,15824,15761,12510
305,871,665,960,4242,4084,7414
306,432,3220,5704,1256,1848,400
307,10483,23956,0,8500,4590,0
308,0,5215,0,0,0,0
309,9720,10613,11339,12841,13836,14514
310,20847,13801,14366,4889,273,11736
311,3697,3600,1354,5322,5103,2077
312,143301,146333,147042,127814,130331,132845
313,10934,13738,16567,10411,13057,14340
314,52439,51040,56205,54723,58657,59983
315,55734,52557,33415,28776,17580,6441
316,49507,33282,34312,17277,17808,19346
317,47819,48947,50330,50894,52175,53652
318,0,165,526,452,397,485
319,48522,50955,29516,29742,29898,24883
320,-2,-2,-2,-2,-2,-2
321,58362,56598,51908,48647,47862,47969
322,172180,180140,166281,155628,145645,103263
323,1399,2441,3865,7476,8384,8085
324,26361,18826,1100,2100,767,6173
325,93029,94054,91834,95631,100123,100738
326,0,0,38013,40555,45075,37056
327,650,650,325,950,475,325
328,24898,27976,27233,30184,29566,30225
329,50396,44665,8300,2190,24599,7416
330,99855,102586,100064,104975,107147,109428
331,-179,505,189,6773,23209,16893
332,9559,12394,11883,9826,10167,12685
333,10540,10232,11237,11427,20973,31857
334,0,0,0,0,1600,78388
335,20571,19089,19658,19453,19108,18868
336,143464,146943,151905,153538,156664,160361
337,156882,160246,159988,158114,158762,159108
338,390,0,0,0,0,0
339,46512,47716,49675,30929,30078,29170
340,882,6531,6313,1100,1330,830
341,92,92,92,0,92,0
342,5916,6172,4123,680,978,978
343,2393,183,4847,20183,24815,24248
344,274731,281713,242063,122295,-1005,1005
345,145403,138232,130553,105894,108248,106517
346,3097,-707,-2697,2303,6182,1654
347,1370,4192,4159,3542,1980,3980
348,47081,49316,50409,45545,39963,41145
349,138119,137950,140254,139679,141748,142174
350,17893,19012,20123,20222,20796,19844
351,39128,20473,1940,1940,0,23101
352,-14386,-13543,3432,-3684,0,1386
353,0,0,0,0,0,0
354,77057,78102,58501,51042,19036,19414
355,15899,18720,18122,18530,19089,18856
356,27679,28422,29650,29981,30419,31127
357,141315,128940,124226,113133,113966,103360
358,194314,179206,193992,174675,171253,169121
359,83755,77431,79044,80631,82333,84462
360,49657,291,51058,2351,34039,291
361,507726,509229,499936,505507,484612,419643
362,71305,71151,72029,72849,74374,74610
363,45734,44741,43562,44039,45008,25775
364,0,0,2066,2000,216,216
365,761,300,399,665,576,613
366,-9,1520,1488,0,3965,8676
367,47166,49396,50476,23319,23171,24774
368,2887,1923,2989,2813,2008,2132
369,0,0,0,0,0,0
370,20631,20010,19703,11084,10918,10985
371,83538,0,0,0,0,0
372,99,2977,15086,8578,13028,21712
373,34302,35089,43449,42451,49718,48767
374,22987,22298,22352,23221,24339,25943
375,173267,174590,175233,106288,28089,178719
376,19143,20168,21229,21495,21800,22437
377,20518,19901,20905,21509,25183,24242
378,10833,14446,7609,4991,3400,3745
379,69937,71906,43308,44584,47842,49888
380,20526,15129,15093,9577,11139,12487
381,89055,90780,70947,72367,73875,75355
382,1894,3200,3381,3559,1948,2415
383,100594,78372,91502,90859,88616,88450
384,2948,3848,5646,5464,5577,5889
385,22619,31429,27923,25280,0,0
386,338106,342904,344464,240865,234939,240176
387,0,80000,0,0,0,0
388,63144,65631,68875,70646,72870,75018
389,153249,154049,156523,159653,162866,157759
390,1131,291,582,291,0,291
391,0,0,0,0,0,0
392,-1312,35918,37297,37154,32581,33316
393,103797,91989,87720,76218,72090,71620
394,20110,17102,18862,19996,21214,21085
395,38000,25000,0,0,0,0
396,142428,144105,143952,142590,142650,142620
397,40810,42653,42351,43011,43011,28947
398,0,0,0,848,0,632
399,104701,106134,108423,91143,82733,74125
400,120298,120822,109887,116313,119311,117167
401,156362,132280,99174,65372,28797,184922
402,41322,29091,28097,28665,28768,29064
403,1464,2084,384,0,2344,822
404,27879,28870,27806,25142,25667,26179
405,160432,163916,159676,166893,170098,153800
406,3858,2690,3410,0,0,82150
407,26476,21393,0,0,0,0
408,507062,491956,430637,376657,356636,303510
409,55607,62893,59001,61565,59508,66541
410,168382,175646,180650,182672,168399,167983
411,29332,28577,30805,31601,32349,32965
412,190,0,0,367,-150,-150
413,0,0,2809,4595,792,3404
414,13668,12647,13135,10596,9218,5068
415,14867,26665,199960,9033,19371,22593
416,22500,5000,0,0,0,0
417,7184,14845,1097,0,0,160
418,14811,16262,17286,17895,19450,18990
419,44338,43048,35639,18753,19091,19548
420,0,0,0,0,0,0
421,25265,26354,27710,27959,30002,29371
422,169661,167199,158520,156977,157963,151936
423,10237,2795,1350,371,2980,0
424,104978,105924,102663,97090,98045,105253
425,192586,197967,201666,205798,196698,190306
426,11262,0,0,0,0,0
427,9551,12081,13087,12583,15327,16414
428,199,199,199,398,199,199
429,70119,68536,66601,29401,28949,29795
430,212601,177946,119362,117766,68791,66167
431,91894,71732,73241,74424,76070,77648
432,304867,299998,300426,292869,292885,281826
433,48123,49537,50422,50990,52014,53206
434,159760,162189,166127,169365,168755,167964
435,9210,8485,17231,1770,0,0
436,234752,233036,229286,217644,223690,221413
437,14072,0,0,300,150,150
438,61807,62499,62162,60605,60272,60145
439,51044,50231,46677,44982,21399,20859
440,77024,73281,57806,37642,46235,47110
441,350,350,400,1695,12645,12584
442,83831,85586,87289,91451,93381,89522
443,0,0,945,0,197,2995
444,122923,124653,126355,114881,117213,124793
445,246135,231443,234557,200643,194410,198857
446,37304,33304,29254,24875,20329,15602
447,146433,107604,89902,90983,82255,83988
448,46122,1260,29366,5400,0,1599
449,38564,38246,32253,30384,30900,0
450,96304,98007,82227,65000,60848,58880
451,0,0,0,0,0,0
452,467150,458862,469703,447130,440982,434715
453,255691,262736,36638,122388,127402,131074
454,156786,179,1443,1443,1443,871
455,78129,28202,78553,49340,48919,48443
456,40034,36549,17431,15031,10600,5315
457,71034,69329,74175,72383,77217,75820
458,23974,24131,25326,25775,0,0
459,819,18163,5473,8162,6985,9130
460,50927,39883,32017,17630,9730,6400
461,152510,151651,159019,123022,126075,126219
462,1689,8638,5702,2980,1260,7868
463,20807,99860,100000,3015,23473,1448
464,30141,131255,110503,99283,97599,96116
465,0,0,1991,0,0,150
466,208459,206331,203813,201331,198999,191671
467,212795,211043,212759,218541,167743,165300
468,28114,28006,25000,22046,19860,19831
469,59372,49677,49515,42568,48268,51481
470,6160,3274,6190,307,2870,670
471,355215,363325,373181,252195,257496,263018
472,366193,372700,375948,195991,152127,155182
473,2927,2790,1140,2144,1180,1382
474,29295,30321,31018,32193,34213,35002
475,4158,2682,0,6440,0,5930
476,27199,28358,28937,29614,30391,23159
477,50893,28527,29241,28513,29106,29638
478,66759,68200,72972,71248,50610,50809
479,600,300,501,300,600,450
480,0,0,0,0,0,0
481,44930,137101,90801,0,1069,919
482,131367,146193,140202,144035,140419,130271
483,41264,41799,37887,37876,6736,4162
484,77604,73317,71334,67009,63228,59378
485,2491,1709,574,556,2306,2562
486,177554,180633,172914,130139,115494,117465
487,6865,15111,13165,0,10500,6992
488,93768,91523,91579,91193,92837,95323
489,396,1648,792,396,396,396
490,16426,6088,4663,3885,4414,2514
491,573,0,0,0,0,0
492,28703,26622,24022,24368,20859,19633
493,98560,100980,222102,108724,68500,69174
494,28304,17616,308,0,0,0
495,8574,9434,10038,10040,10400,10490
496,508,672,226,390,220,320
497,203183,202961,194449,196814,200526,198717
498,16440,20417,18333,18848,30190,19664
499,66,0,0,120,-6,1639
500,15912,17272,20565,20705,20255,19933
501,20344,21705,22537,24161,25128,24576
502,23132,22474,28067,27320,31199,30548
503,221590,227397,230302,186635,189896,193351
504,19161,20544,22704,22304,22304,0
505,0,0,0,0,0,0
506,396,396,396,0,792,1220
507,3959,0,285138,249445,222831,200
508,42238,38741,36696,35813,37893,34661
509,21507,13207,13997,10914,10685,5515
510,884,0,0,10446,0,0
511,1261,1261,1261,1411,930,390
512,240,240,240,240,240,240
513,20223,52962,3978,1743,2828,50537
514,29509,30741,31438,31924,32566,33081
515,18355,20259,19534,16467,15746,13246
516,94265,53376,85787,78762,79529,80335
517,68739,67629,69188,68392,69884,71284
518,13917,16695,21320,18614,19003,19439
519,10250,8558,10525,10050,9903,9984
520,93844,97708,103066,104864,110151,115297
521,16496,17522,18531,18744,19291,19818
522,-58,32991,36465,44310,62408,61420
523,1210,820,64644,125984,106584,125557
524,111496,112133,69529,70804,70781,66735
525,67374,69489,70937,71761,73505,74827
526,1692,13250,433,1831,0,2891
527,18649,18066,19040,19446,20759,20241
528,160837,156839,160440,163781,167159,170894
529,-8,-8,-8,-8,1677,2600
530,18763,14410,13771,362,5308,0
531,34549,18552,19334,18165,19322,19575
532,97538,49187,17518,17710,18079,18302
533,4073,6394,6143,6908,6652,6785
534,53849,55030,61574,62470,61198,62524
535,2411,3059,2333,1800,1620,0
536,480,1675,3630,578,4825,6200
537,330759,337794,274075,252584,216547,179221
538,92007,87939,82094,59105,53442,46775
539,3257,4166,0,0,318,0
540,92638,90905,95768,97004,99005,101213
541,399,0,0,0,218,270
542,0,0,0,0,0,318
543,28778,28039,28286,27533,28189,28805
544,30092,30486,30178,29735,14718,29427
545,12339,10138,23912,9785,166,2142
546,50620,43220,44237,46495,47751,51941
547,-65,-65,-65,-65,-65,-200
548,0,0,0,0,0,0
549,2403,7357,9752,12608,10797,20539
550,52437,50473,45087,35424,31760,31214
551,4657,6068,6418,6781,6144,7638
552,28204,0,16500,0,26854,554
553,50715,51073,28185,28842,30399,29977
554,0,6370,0,0,0,0
555,35285,36714,37356,38184,38724,37255
556,37850,68187,1207,2632,8654,0
557,5233,5393,1824,350,150,199
558,65299,74565,78516,79829,81603,83206
559,17208,18419,0,0,0,0
560,57192,58472,59658,60466,61593,65163
561,5780,12006,15736,6621,2457,14923
562,640,2113,-6,999,944,-3
563,631,2790,1758,416,416,3640
564,108351,111201,63146,63723,65108,66078
565,834,155,-1690,4240,3346,2698
566,7244,8472,1738,6706,2391,11082
567,13141,14526,15482,18219,22737,23387
568,7071,401,3545,10540,10132,6220
569,35429,30626,30241,20284,19166,19567
570,18751,5706,0,0,0,0
571,55788,8360,4897,5065,19468,0
572,49809,50364,38429,18815,18305,19013
573,10900,10478,-22,-22,-22,4532
574,3128,5156,1089,489,3177,1009
575,3367,4641,2290,1459,6764,7601
576,279610,282024,282508,284660,255892,238266
577,475,475,5691,37526,50565,48888
578,5994,32223,8308,4082,538,4085
579,5197,6015,6615,7131,6987,6980
580,7797,2687,8762,3377,2000,0
581,0,780,0,0,0,0
582,35785,29155,27485,29266,35598,38449
583,1433,3746,30258,1036,21572,9528
584,77766,77954,78512,60452,61556,54022
585,50300,50898,49111,48943,45775,0
586,14603,15661,16394,16723,18056,17618
587,0,0,0,0,0,0
588,8817,23634,21776,9631,1561,1990
589,131575,130931,132969,45584,46516,47455
590,5841,23194,62361,67057,17024,18659
591,30341,25981,24092,65840,56538,51522
592,83255,83912,85161,85715,86773,87526
593,34976,6018,13930,7106,6020,9011
594,48747,45955,44989,41358,42379,38052
595,56700,57875,59044,59756,61004,62213
596,144678,140804,136437,135253,134629,134309
597,268112,263368,259969,255832,245462,250244
598,0,0,0,0,0,0
599,79243,75254,58683,58886,60035,57264
600,-475,5191,4606,2303,2768,65373
601,23396,24182,25135,25095,25356,25514
602,390,390,390,390,390,1320
603,17862,17927,18800,17647,18015,12930
604,26450,28823,28171,28740,30454,29930
605,0,0,0,0,0,0
606,22746,22099,24121,23437,25101,24549
607,9214,10359,7350,7500,0,0
608,40882,35428,39680,44097,42543,33189
609,3996,9120,8528,0,6368,3000
610,390,390,390,561,390,390
611,44177,25736,19292,18900,13580,33150
612,3280,0,0,0,0,2650
613,48226,48727,46228,46755,43686,44573
614,36650,29541,26190,26710,27274,29551
615,115049,117856,119570,116284,123528,125478
616,21724,23168,23320,24085,24149,3323
617,0,0,0,0,595,0
618,137807,123769,104377,106651,109294,101151
619,58839,53235,38533,39639,39619,39140
620,80833,79100,70764,71629,70805,70718
621,36146,36184,37511,33080,30223,31561
622,340,-120,420,460,460,610
623,7624,0,0,0,0,0
624,0,0,0,0,166,541
625,491,0,0,0,0,0
626,13168,13888,14900,15916,15519,15829
627,60040,55274,51766,51757,50013,49946
628,660,660,660,660,660,660
629,29434,28960,29022,29201,29553,29693
630,4430,7182,3855,3411,6788,9921
631,1440,0,0,0,0,0
632,26795,28056,29284,30487,33831,33138
633,16591,16442,6401,4300,1304,0
634,0,0,0,0,0,0
635,46486,35758,34323,30452,22628,23468
636,550,228,0,228,0,0
637,5630,6629,5918,6918,6941,4756
638,21986,21520,20979,19894,18811,18805
639,60125,1981,4521,20472,76933,173599
640,56364,58132,59171,55888,53672,51461
641,148363,148432,151310,141937,144990,147911
642,100143,50456,50000,0,0,0
643,46255,50486,54019,58091,61630,65576
644,276436,239025,149128,48907,53025,51434
645,29493,19433,18782,19006,19637,21251
646,214450,147280,150000,0,-5000,0
647,35369,35320,0,0,0,0
648,77615,77303,66396,55639,56873,58390
649,186149,181779,192189,195517,199250,195874
650,21075,20795,20206,19617,18737,18148
651,0,0,1100,300,-200,-200
652,14348,7500,7816,7500,7500,14497
653,20137,20179,18067,18666,19115,19547
654,-200,-200,0,42000,0,0
655,8177,9131,9669,7624,8049,6857
656,2082,3557,5623,5400,3866,3526
657,13820,15614,16293,7760,2000,0
658,46923,48666,49347,50386,43883,34412
659,53261,38091,19744,14556,0,1460
660,427,298,1179,1714,2875,1047
661,14150,8106,12431,12145,13391,7957
662,42856,44925,0,787,1457,0
663,1034,40000,0,0,0,510
664,5137,5960,6270,6000,5810,390
665,24114,25417,28777,29107,29693,30456
666,130067,129385,96775,98071,97743,100124
667,61611,62711,63695,63926,67361,59480
668,25078,25538,25880,25873,26157,26918
669,97002,102698,97997,103384,97266,101492
670,5766,7511,7678,7318,7458,7598
671,99568,32326,31840,37075,37662,36904
672,12857,14183,14890,15642,16387,17113
673,96193,82342,81967,82177,78840,79261
674,2400,2400,2400,2400,2400,1800
675,97797,99672,101953,102284,104090,105859
676,64762,63164,32789,31641,29240,28306
677,145613,156765,159386,161870,165725,169928
678,71989,122129,147936,149573,152574,156323
679,3345,1083,4339,7423,4059,2508
680,29033,17013,7024,7024,7024,7024
681,26650,20787,20566,21158,22141,22158
682,0,0,1024,0,0,0
683,4259,5432,6182,0,0,0
684,106468,108955,112374,54762,58189,57170
685,247276,241167,238196,231580,229683,235837
686,1548,-32,177639,174397,4852,4125
687,780,0,732,642,1252,643
688,162671,166202,161973,167201,161327,171863
689,123049,125616,129695,130735,133467,136287
690,51372,51872,47593,43882,42256,42527
691,60015,72227,51364,54340,0,2129
692,1170,780,0,0,0,0
693,159398,156955,132144,119136,122211,125021
694,55664,59529,57571,57871,60872,59329
695,43528,498,429,14257,5417,2967
696,0,0,0,0,0,0
697,27966,28539,11597,6611,7349,7570
698,8792,7500,0,0,0,0
699,28026,41302,51500,35752,3955,13969
700,43610,43280,36156,30305,30155,561
701,0,8235,0,0,1524,0
702,5780,105,105,0,7384,8588
703,8109,9778,8259,0,0,0
704,52515,51424,49967,20036,20076,37615
705,22582,26518,25814,25110,24569,26357
706,15448,16392,18096,18425,18619,19060
707,58102,59011,56272,53663,51507,50616
708,12289,11806,13268,12758,13549,14673
709,10476,7279,688,688,688,1320
710,16326,17497,18456,18424,18800,10000
711,17681,18249,18054,18569,19152,18088
712,47912,25023,25768,26410,27960,46254
713,18886,14249,3821,2404,319,0
714,0,1690,0,0,0,4750
715,203,767,664,1250,-10,2174
716,34962,32275,31253,32014,33573,29645
717,80964,80337,82182,82586,85145,87049
718,69418,68943,38783,3758,1261,0
719,0,0,0,0,0,0
720,45174,41885,42832,23799,11723,27236
721,23892,28459,25499,25778,28708,30520
722,7960,9649,8518,8628,9293,5033
723,0,3338,3333,3333,3333,3333
724,9192,13920,4022,316,8420,316
725,25935,27210,28783,30003,29385,31401
726,7139,8416,9815,9508,9754,10192
727,12865,4462,19560,8894,5329,998
728,-14,2568,-387,-387,-387,113
729,49549,133957,128212,79407,8875,49880
730,546,255,464,1173,732,1023
731,9935,11029,12795,9983,10884,7666
732,152856,156104,158279,161934,165447,168802
733,1278,639,621,-18,-18,-18
734,316,316,0,316,632,0
735,46132,41050,40091,40659,38529,30900
736,27345,-1041,17571,17920,18296,18659
