ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
213,28347,28108,18388,12992,7736,8032
214,296573,303320,307843,479978,305145,309959
215,390,390,390,240,1320,780
216,-946,-946,-946,-946,-946,-946
217,79278,78501,78534,80016,76235,78245
218,89989,84229,79288,73315,63818,63208
219,1424,4542,126,0,0,0
220,105167,115468,112157,114690,117845,120238
221,335196,334954,335527,333860,335760,330121
222,291619,297268,205629,215827,208464,212508
223,91653,94037,108597,65913,43805,33263
224,52626,51537,49205,30394,30249,29957
225,130370,131199,128900,125514,127280,128839
226,3265,2686,1864,569,0,0
227,16455,16511,18902,18768,18650,19175
228,49758,48456,44116,21247,20066,18858
229,19154,18165,17233,7630,1730,0
230,35084,35796,30937,19420,10385,1308
231,20235,17132,16856,16875,13454,10104
232,102800,0,0,2624,45567,46557
233,129801,131383,134379,142323,140120,150052
234,58203,36367,20934,20694,20175,19421
235,7988,3977,6848,1719,1378,19942
236,127402,110050,51547,44384,36900,29497
237,1440,0,7422,893,6082,2293
238,234205,231669,214642,207642,210375,214694
239,19346,21708,22940,19068,16409,16383
240,21501,20650,0,0,0,2285
241,47174,47974,48630,50803,30789,15874
242,26655,27724,28676,27990,28790,29399
243,3139,5853,2821,0,2821,0
244,142,215,139,19,19,79
245,19816,20396,20102,19575,0,0
246,52874,1631,1536,1010,5572,794
247,37767,34457,30036,30337,30997,32904
248,46140,45781,48139,51137,39450,25358
249,35713,15392,16099,16418,16765,17484
250,50867,51486,48869,30115,29527,29998
251,29242,29507,29155,25255,22001,0
252,101551,105246,104781,105334,107699,106828
253,70243,47779,28052,7222,99669,84426
254,19532,3719,1453,4944,1896,2486
255,27699,28513,29341,29928,29533,28538
256,1154,1233,862,1355,1130,21361
257,8015,2453,9624,52572,7333,2210
258,62170,0,0,0,0,0
259,210380,213522,201852,169115,172169,162402
260,78331,99414,107686,103776,87265,36739
261,49276,35100,32563,27823,29130,28309
262,4473,4664,5969,18941,16578,12652
263,2283,50815,0,0,299,338
264,10115,249,5986,188,1644,16872
265,6156,0,0,316,316,316
266,6974,7838,9002,9182,9729,9411
267,89003,91362,72197,49654,28065,27500
268,34871,34449,33634,34586,34762,35673
269,13694,14880,14242,13968,14319,2614
270,70003,31545,20974,19713,19848,18126
271,1082,632,1350,900,450,0
272,0,0,0,0,0,0
273,11253,12852,14024,14512,16325,11905
274,0,0,0,0,0,0
275,68699,69120,68376,30163,14310,15085
276,171,2715,-13,2641,-10,22535
277,1156,316,316,316,316,316
278,50859,50462,50654,20046,20067,19703
279,103109,102594,97109,99029,100871,101299
280,1512,2458,664,1814,0,0
281,127543,109189,92630,69669,44149,43414
282,163935,153152,147032,122196,103692,70204
283,53494,52656,52600,52336,55831,56265
284,195126,88743,92195,94814,98182,98457
285,110346,41986,21874,20076,16171,586
286,60502,62804,62769,62683,63663,46549
287,180641,181557,149944,113135,105280,97622
288,70896,71678,70125,69856,69718,51365
289,8751,9900,10605,10765,11765,4311
290,898,898,325,898,325,-339603
291,0,0,0,0,0,0
292,1700,2610,1914,2182,2000,2566
293,7015,10227,9560,9901,9963,10182
294,0,0,0,0,0,0
295,194353,197344,186292,133345,133634,133990
296,1686,657,2179,1423,0,1820
297,143225,142996,144415,148190,147993,131629
298,58983,60788,63225,29701,30172,30771
299,0,0,13001,12601,19595,203
300,99209,98222,67185,66926,66796,64513
301,0,0,0,0,0,0
302,49941,51213,12104,12898,13687,14458
303,11968,14564,27820,15824,15761,12510
304,871,665,960,4242,4084,7414
305,432,3220,5704,1256,1848,400
306,10483,23956,0,8500,4590,0
307,0,5215,0,0,0,0
308,9720,10613,11339,12841,13836,14514
309,20847,13801,14366,4889,273,11736
310,3697,3600,1354,5322,5103,2077
311,143301,146333,147042,127814,130331,132845
312,10934,13738,16567,10411,13057,14340
313,52439,51040,56205,54723,58657,59983
314,55734,52557,33415,28776,17580,6441
315,49507,33282,34312,17277,17808,19346
316,47819,48947,50330,50894,52175,53652
317,0,165,526,452,397,485
318,48522,50955,29516,29742,29898,24883
319,-2,-2,-2,-2,-2,-2
320,58362,56598,51908,48647,47862,47969
321,172180,180140,166281,155628,145645,103263
322,1399,2441,3865,7476,8384,8085
323,26361,18826,1100,2100,767,6173
324,93029,94054,91834,95631,100123,100738
325,0,0,38013,40555,45075,37056
326,650,650,325,950,475,325
327,24898,27976,27233,30184,29566,30225
328,50396,44665,8300,2190,24599,7416
329,99855,102586,100064,104975,107147,109428
330,-179,505,189,6773,23209,16893
331,9559,12394,11883,9826,10167,12685
332,10540,10232,11237,11427,20973,31857
333,0,0,0,0,1600,78388
334,20571,19089,19658,19453,19108,18868
335,143464,146943,151905,153538,156664,160361
336,156882,160246,159988,158114,158762,159108
337,390,0,0,0,0,0
338,46512,47716,49675,30929,30078,29170
339,882,6531,6313,1100,1330,830
340,92,92,92,0,92,0
341,5916,6172,4123,680,978,978
342,2393,183,4847,20183,24815,24248
343,274731,281713,242063,122295,-1005,1005
344,145403,138232,130553,105894,108248,106517
345,3097,-707,-2697,2303,6182,1654
346,1370,4192,4159,3542,1980,3980
347,47081,49316,50409,45545,39963,41145
348,138119,137950,140254,139679,141748,142174
349,17893,19012,20123,20222,20796,19844
350,39128,20473,1940,1940,0,23101
351,-14386,-13543,3432,-3684,0,1386
352,0,0,0,0,0,0
353,77057,78102,58501,51042,19036,19414
354,15899,18720,18122,18530,19089,18856
355,27679,28422,29650,29981,30419,31127
356,141315,128940,124226,113133,113966,103360
357,194314,179206,193992,174675,171253,169121
358,83755,77431,79044,80631,82333,84462
359,49657,291,51058,2351,34039,291
360,507726,509229,499936,505507,484612,419643
361,71305,71151,72029,72849,74374,74610
362,45734,44741,43562,44039,45008,25775
363,0,0,2066,2000,216,216
364,761,300,399,665,576,613
365,-9,1520,1488,0,3965,8676
366,47166,49396,50476,23319,23171,24774
367,2887,1923,2989,2813,2008,2132
368,0,0,0,0,0,0
369,20631,20010,19703,11084,10918,10985
370,83538,0,0,0,0,0
371,99,2977,15086,8578,13028,21712
372,34302,35089,43449,42451,49718,48767
373,22987,22298,22352,23221,24339,25943
374,173267,174590,175233,106288,28089,178719
375,19143,20168,21229,21495,21800,22437
376,20518,19901,20905,21509,25183,24242
377,10833,14446,7609,4991,3400,3745
378,69937,71906,43308,44584,47842,49888
379,20526,15129,15093,9577,11139,12487
380,89055,90780,70947,72367,73875,75355
381,1894,3200,3381,3559,1948,2415
382,100594,78372,91502,90859,88616,88450
383,2948,3848,5646,5464,5577,5889
384,22619,31429,27923,25280,0,0
385,338106,342904,344464,240865,234939,240176
386,0,80000,0,0,0,0
387,63144,65631,68875,70646,72870,75018
388,153249,154049,156523,159653,162866,157759
389,1131,291,582,291,0,291
390,0,0,0,0,0,0
391,-1312,35918,37297,37154,32581,33316
392,103797,91989,87720,76218,72090,71620
393,20110,17102,18862,19996,21214,21085
394,38000,25000,0,0,0,0
395,142428,144105,143952,142590,142650,142620
396,40810,42653,42351,43011,43011,28947
397,0,0,0,848,0,632
398,104701,106134,108423,91143,82733,74125
399,120298,120822,109887,116313,119311,117167
400,156362,132280,99174,65372,28797,184922
401,41322,29091,28097,28665,28768,29064
402,1464,2084,384,0,2344,822
403,27879,28870,27806,25142,25667,26179
404,160432,163916,159676,166893,170098,153800
405,3858,2690,3410,0,0,82150
406,26476,21393,0,0,0,0
407,507062,491956,430637,376657,356636,303510
408,55607,62893,59001,61565,59508,66541
409,168382,175646,180650,182672,168399,167983
410,29332,28577,30805,31601,32349,32965
411,190,0,0,367,-150,-150
412,0,0,2809,4595,792,3404
413,13668,12647,13135,10596,9218,5068
414,14867,26665,199960,9033,19371,22593
415,22500,5000,0,0,0,0
416,7184,14845,1097,0,0,160
417,14811,16262,17286,17895,19450,18990
418,44338,43048,35639,18753,19091,19548
419,0,0,0,0,0,0
420,25265,26354,27710,27959,30002,29371
421,169661,167199,158520,156977,157963,151936
422,10237,2795,1350,371,2980,0
423,104978,105924,102663,97090,98045,105253
424,192586,197967,201666,205798,196698,190306
425,11262,0,0,0,0,0
426,9551,12081,13087,12583,15327,16414
427,199,199,199,398,199,199
428,70119,68536,66601,29401,28949,29795
429,212601,177946,119362,117766,68791,66167
430,91894,71732,73241,74424,76070,77648
431,304867,299998,300426,292869,292885,281826
432,48123,49537,50422,50990,52014,53206
433,159760,162189,166127,169365,168755,167964
434,9210,8485,17231,1770,0,0
435,234752,233036,229286,217644,223690,221413
436,14072,0,0,300,150,150
437,61807,62499,62162,60605,60272,60145
438,51044,50231,46677,44982,21399,20859
439,77024,73281,57806,37642,46235,47110
440,350,350,400,1695,12645,12584
441,83831,85586,87289,91451,93381,89522
442,0,0,945,0,197,2995
443,122923,124653,126355,114881,117213,124793
444,246135,231443,234557,200643,194410,198857
445,37304,33304,29254,24875,20329,15602
446,146433,107604,89902,90983,82255,83988
447,46122,1260,29366,5400,0,1599
448,38564,38246,32253,30384,30900,0
449,96304,98007,82227,65000,60848,58880
450,0,0,0,0,0,0
451,467150,458862,469703,447130,440982,434715
452,255691,262736,36638,122388,127402,131074
453,156786,179,1443,1443,1443,871
454,78129,28202,78553,49340,48919,48443
455,40034,36549,17431,15031,10600,5315
456,71034,69329,74175,72383,77217,75820
457,23974,24131,25326,25775,0,0
458,819,18163,5473,8162,6985,9130
459,50927,39883,32017,17630,9730,6400
460,152510,151651,159019,123022,126075,126219
461,1689,8638,5702,2980,1260,7868
462,20807,99860,100000,3015,23473,1448
463,30141,131255,110503,99283,97599,96116
464,0,0,1991,0,0,150
465,208459,206331,203813,201331,198999,191671
466,212795,211043,212759,218541,167743,165300
467,28114,28006,25000,22046,19860,19831
468,59372,49677,49515,42568,48268,51481
469,6160,3274,6190,307,2870,670
470,355215,363325,373181,252195,257496,263018
471,366193,372700,375948,195991,152127,155182
472,2927,2790,1140,2144,1180,1382
473,29295,30321,31018,32193,34213,35002
474,4158,2682,0,6440,0,5930
475,27199,28358,28937,29614,30391,23159
476,50893,28527,29241,28513,29106,29638
477,66759,68200,72972,71248,50610,50809
478,600,300,501,300,600,450
479,0,0,0,0,0,0
480,44930,137101,90801,0,1069,919
481,131367,146193,140202,144035,140419,130271
482,41264,41799,37887,37876,6736,4162
483,77604,73317,71334,67009,63228,59378
484,2491,1709,574,556,2306,2562
485,177554,180633,172914,130139,115494,117465
486,6865,15111,13165,0,10500,6992
487,93768,91523,91579,91193,92837,95323
488,396,1648,792,396,396,396
489,16426,6088,4663,3885,4414,2514
490,573,0,0,0,0,0
491,28703,26622,24022,24368,20859,19633
492,98560,100980,222102,108724,68500,69174
493,28304,17616,308,0,0,0
494,8574,9434,10038,10040,10400,10490
495,508,672,226,390,220,320
496,203183,202961,194449,196814,200526,198717
497,16440,20417,18333,18848,30190,19664
498,66,0,0,120,-6,1639
499,15912,17272,20565,20705,20255,19933
500,20344,21705,22537,24161,25128,24576
501,23132,22474,28067,27320,31199,30548
502,221590,227397,230302,186635,189896,193351
503,19161,20544,22704,22304,22304,0
504,0,0,0,0,0,0
505,396,396,396,0,792,1220
506,3959,0,285138,249445,222831,200
507,42238,38741,36696,35813,37893,34661
508,21507,13207,13997,10914,10685,5515
509,884,0,0,10446,0,0
510,1261,1261,1261,1411,930,390
511,240,240,240,240,240,240
512,20223,52962,3978,1743,2828,50537
513,29509,30741,31438,31924,32566,33081
514,18355,20259,19534,16467,15746,13246
515,94265,53376,85787,78762,79529,80335
516,68739,67629,69188,68392,69884,71284
517,13917,16695,21320,18614,19003,19439
518,10250,8558,10525,10050,9903,9984
519,93844,97708,103066,104864,110151,115297
520,16496,17522,18531,18744,19291,19818
521,-58,32991,36465,44310,62408,61420
522,1210,820,64644,125984,106584,125557
523,111496,112133,69529,70804,70781,66735
524,67374,69489,70937,71761,73505,74827
525,1692,13250,433,1831,0,2891
526,18649,18066,19040,19446,20759,20241
527,160837,156839,160440,163781,167159,170894
528,-8,-8,-8,-8,1677,2600
529,18763,14410,13771,362,5308,0
530,34549,18552,19334,18165,19322,19575
531,97538,49187,17518,17710,18079,18302
532,4073,6394,6143,6908,6652,6785
533,53849,55030,61574,62470,61198,62524
534,2411,3059,2333,1800,1620,0
535,480,1675,3630,578,4825,6200
536,330759,337794,274075,252584,216547,179221
537,92007,87939,82094,59105,53442,46775
538,3257,4166,0,0,318,0
539,92638,90905,95768,97004,99005,101213
540,399,0,0,0,218,270
541,0,0,0,0,0,318
542,28778,28039,28286,27533,28189,28805
543,30092,30486,30178,29735,14718,29427
544,12339,10138,23912,9785,166,2142
545,50620,43220,44237,46495,47751,51941
546,-65,-65,-65,-65,-65,-200
547,0,0,0,0,0,0
548,2403,7357,9752,12608,10797,20539
549,52437,50473,45087,35424,31760,31214
550,4657,6068,6418,6781,6144,7638
551,28204,0,16500,0,26854,554
552,50715,51073,28185,28842,30399,29977
553,0,6370,0,0,0,0
554,35285,36714,37356,38184,38724,37255
555,37850,68187,1207,2632,8654,0
556,5233,5393,1824,350,150,199
557,65299,74565,78516,79829,81603,83206
558,17208,18419,0,0,0,0
559,57192,58472,59658,60466,61593,65163
560,5780,12006,15736,6621,2457,14923
561,640,2113,-6,999,944,-3
562,631,2790,1758,416,416,3640
563,108351,111201,63146,63723,65108,66078
564,834,155,-1690,4240,3346,2698
565,7244,8472,1738,6706,2391,11082
566,13141,14526,15482,18219,22737,23387
567,7071,401,3545,10540,10132,6220
568,35429,30626,30241,20284,19166,19567
569,18751,5706,0,0,0,0
570,55788,8360,4897,5065,19468,0
571,49809,50364,38429,18815,18305,19013
572,10900,10478,-22,-22,-22,4532
573,3128,5156,1089,489,3177,1009
574,3367,4641,2290,1459,6764,7601
575,279610,282024,282508,284660,255892,238266
576,475,475,5691,37526,50565,48888
577,5994,32223,8308,4082,538,4085
578,5197,6015,6615,7131,6987,6980
579,7797,2687,8762,3377,2000,0
580,0,780,0,0,0,0
581,35785,29155,27485,29266,35598,38449
582,1433,3746,30258,1036,21572,9528
583,77766,77954,78512,60452,61556,54022
584,50300,50898,49111,48943,45775,0
585,14603,15661,16394,16723,18056,17618
586,0,0,0,0,0,0
587,8817,23634,21776,9631,1561,1990
588,131575,130931,132969,45584,46516,47455
589,5841,23194,62361,67057,17024,18659
590,30341,25981,24092,65840,56538,51522
591,83255,83912,85161,85715,86773,87526
592,34976,6018,13930,7106,6020,9011
593,48747,45955,44989,41358,42379,38052
594,56700,57875,59044,59756,61004,62213
595,144678,140804,136437,135253,134629,134309
596,268112,263368,259969,255832,245462,250244
597,0,0,0,0,0,0
598,79243,75254,58683,58886,60035,57264
599,-475,5191,4606,2303,2768,65373
600,23396,24182,25135,25095,25356,25514
601,390,390,390,390,390,1320
602,17862,17927,18800,17647,18015,12930
603,26450,28823,28171,28740,30454,29930
604,0,0,0,0,0,0
605,22746,22099,24121,23437,25101,24549
606,9214,10359,7350,7500,0,0
607,40882,35428,39680,44097,42543,33189
608,3996,9120,8528,0,6368,3000
609,390,390,390,561,390,390
610,44177,25736,19292,18900,13580,33150
611,3280,0,0,0,0,2650
612,48226,48727,46228,46755,43686,44573
613,36650,29541,26190,26710,27274,29551
614,115049,117856,119570,116284,123528,125478
615,21724,23168,23320,24085,24149,3323
616,0,0,0,0,595,0
617,137807,123769,104377,106651,109294,101151
618,58839,53235,38533,39639,39619,39140
619,80833,79100,70764,71629,70805,70718
620,36146,36184,37511,33080,30223,31561
621,340,-120,420,460,460,610
622,7624,0,0,0,0,0
623,0,0,0,0,166,541
624,491,0,0,0,0,0
625,13168,13888,14900,15916,15519,15829
626,60040,55274,51766,51757,50013,49946
627,660,660,660,660,660,660
628,29434,28960,29022,29201,29553,29693
629,4430,7182,3855,3411,6788,9921
630,1440,0,0,0,0,0
631,26795,28056,29284,30487,33831,33138
632,16591,16442,6401,4300,1304,0
633,0,0,0,0,0,0
634,46486,35758,34323,30452,22628,23468
635,550,228,0,228,0,0
636,5630,6629,5918,6918,6941,4756
637,21986,21520,20979,19894,18811,18805
638,60125,1981,4521,20472,76933,173599
639,56364,58132,59171,55888,53672,51461
640,148363,148432,151310,141937,144990,147911
641,100143,50456,50000,0,0,0
642,46255,50486,54019,58091,61630,65576
643,276436,239025,149128,48907,53025,51434
644,29493,19433,18782,19006,19637,21251
645,214450,147280,150000,0,-5000,0
646,35369,35320,0,0,0,0
647,77615,77303,66396,55639,56873,58390
648,186149,181779,192189,195517,199250,195874
649,21075,20795,20206,19617,18737,18148
650,0,0,1100,300,-200,-200
651,14348,7500,7816,7500,7500,14497
652,20137,20179,18067,18666,19115,19547
653,-200,-200,0,42000,0,0
654,8177,9131,9669,7624,8049,6857
655,2082,3557,5623,5400,3866,3526
656,13820,15614,16293,7760,2000,0
657,46923,48666,49347,50386,43883,34412
658,53261,38091,19744,14556,0,1460
659,427,298,1179,1714,2875,1047
660,14150,8106,12431,12145,13391,7957
661,42856,44925,0,787,1457,0
662,1034,40000,0,0,0,510
663,5137,5960,6270,6000,5810,390
664,24114,25417,28777,29107,29693,30456
665,130067,129385,96775,98071,97743,100124
666,61611,62711,63695,63926,67361,59480
667,25078,25538,25880,25873,26157,26918
668,97002,102698,97997,103384,97266,101492
669,5766,7511,7678,7318,7458,7598
670,99568,32326,31840,37075,37662,36904
671,12857,14183,14890,15642,16387,17113
672,96193,82342,81967,82177,78840,79261
673,2400,2400,2400,2400,2400,1800
674,97797,99672,101953,102284,104090,105859
675,64762,63164,32789,31641,29240,28306
676,145613,156765,159386,161870,165725,169928
677,71989,122129,147936,149573,152574,156323
678,3345,1083,4339,7423,4059,2508
679,29033,17013,7024,7024,7024,7024
680,26650,20787,20566,21158,22141,22158
681,0,0,1024,0,0,0
682,4259,5432,6182,0,0,0
683,106468,108955,112374,54762,58189,57170
684,247276,241167,238196,231580,229683,235837
685,1548,-32,177639,174397,4852,4125
686,780,0,732,642,1252,643
687,162671,166202,161973,167201,161327,171863
688,123049,125616,129695,130735,133467,136287
689,51372,51872,47593,43882,42256,42527
690,60015,72227,51364,54340,0,2129
691,1170,780,0,0,0,0
692,159398,156955,132144,119136,122211,125021
693,55664,59529,57571,57871,60872,59329
694,43528,498,429,14257,5417,2967
695,0,0,0,0,0,0
696,27966,28539,11597,6611,7349,7570
697,8792,7500,0,0,0,0
698,28026,41302,51500,35752,3955,13969
699,43610,43280,36156,30305,30155,561
700,0,8235,0,0,1524,0
701,5780,105,105,0,7384,8588
702,8109,9778,8259,0,0,0
703,52515,51424,49967,20036,20076,37615
704,22582,26518,25814,25110,24569,26357
705,15448,16392,18096,18425,18619,19060
706,58102,59011,56272,53663,51507,50616
707,12289,11806,13268,12758,13549,14673
708,10476,7279,688,688,688,1320
709,16326,17497,18456,18424,18800,10000
710,17681,18249,18054,18569,19152,18088
711,47912,25023,25768,26410,27960,46254
712,18886,14249,3821,2404,319,0
713,0,1690,0,0,0,4750
714,203,767,664,1250,-10,2174
715,34962,32275,31253,32014,33573,29645
716,80964,80337,82182,82586,85145,87049
717,69418,68943,38783,3758,1261,0
718,0,0,0,0,0,0
719,45174,41885,42832,23799,11723,27236
720,23892,28459,25499,25778,28708,30520
721,7960,9649,8518,8628,9293,5033
722,0,3338,3333,3333,3333,3333
723,9192,13920,4022,316,8420,316
724,25935,27210,28783,30003,29385,31401
725,7139,8416,9815,9508,9754,10192
726,12865,4462,19560,8894,5329,998
727,-14,2568,-387,-387,-387,113
728,49549,133957,128212,79407,8875,49880
729,546,255,464,1173,732,1023
730,9935,11029,12795,9983,10884,7666
731,152856,156104,158279,161934,165447,168802
732,1278,639,621,-18,-18,-18
733,316,316,0,316,632,0
734,46132,41050,40091,40659,38529,30900
735,27345,-1041,17571,17920,18296,18659
