ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
74,834,155,-1690,4240,3346,2698,
75,283743,289508,302561,283356,275361,268871,
76,38430,37537,38156,39581,36506,37893,
77,5678,3608,694,-6,2266,1601,
78,60717,59183,62075,60501,61808,60668,
79,170845,171762,170464,127364,127024,125341,
80,2400,2400,2400,2400,2400,2400,
81,7142,44008,21715,5064,9147,6068,
82,56002,55557,54083,54601,55585,57027,
83,10677,9478,4603,0,0,0,
84,25386,2542,2916,4257,629,6267,
85,48019,48992,49689,31368,9454,6020,
86,19961,16437,16579,17437,18314,19616,
87,1587,1098,782,1166,700,1414,
88,2555,4502,6259,7115,8135,1459,
89,16078,16055,13371,4405,1292,390,
90,2869,2357,5608,1851,2801,3268,
91,137582,145941,142243,138383,131645,123840,
92,58850,59867,47925,23642,21707,20544,
93,228610,182982,150022,151787,154922,159113,
94,89829,82251,78830,76521,78049,79792,
95,0,0,0,0,0,0,
96,316,316,316,316,466,8057,
97,35285,36714,37356,38184,38724,37255,
98,360,360,360,150,870,510,
99,30026,29239,14027,13559,14331,14948,
100,23931,23366,22275,21631,22961,19269,
101,77846,50281,14033,12628,20172,73512,
102,25037,18486,19082,19145,15839,9335,
103,27869,5531,6781,12162,12410,12410,
104,75818,76887,78178,79858,74785,54849,
105,416,416,0,832,416,416,
106,24906,26242,27360,27480,29642,28779,
107,35671,37073,38472,39510,40873,42082,
108,70664,62223,26400,27201,27363,-4000,
109,180137,192621,178390,180346,178832,182860,
110,3102,1499,318,2488,187,607,
111,780,390,0,780,0,0,
112,-58,-58,-58,7242,8123,8993,
113,68594,66893,72307,70556,74021,75675,
114,18256,18245,18447,13574,8805,10501,
115,84488,83593,72883,67337,60807,59088,
116,836,836,836,1672,836,390,
117,19318,19067,17858,326,326,326,
118,52489,53615,54803,55729,57001,58036,
119,15925,16883,17536,14810,9579,9940,
120,118492,119637,102228,75558,47536,44749,
121,50060,54213,49512,18657,33296,32622,
122,0,0,0,0,0,0,
123,46780,38099,38600,29400,30000,0,
124,0,185,1916,0,150,1348,
125,71048,74242,78032,81392,48022,48068,
126,3126,3126,626,626,776,783,
127,24178,25270,24669,26738,27201,26723,
128,34183,22431,12399,4199,3059,674,
129,363191,373421,363343,290371,289600,288256,
130,41892,43875,45052,44938,40655,40930,
131,0,0,0,0,0,0,
132,20564,20284,19394,39950,0,0,
133,60514,61923,62740,63090,64470,65828,
134,0,0,19449,20623,21283,21943,
135,15743,16784,18998,18395,19100,20582,
136,1352,2380,0,970,0,89,
137,22619,19055,20161,20553,18933,18855,
138,175200,175285,60790,50479,28739,18037,
139,23575,24584,25885,26851,26808,27599,
140,24895,26476,28047,29767,30498,29890,
141,69380,70886,69402,1332,1604,958,
142,-2,-2,-2,-2,-2,-2,
143,92272,69963,67223,69167,69289,70333,
144,135432,136312,131559,111859,98815,97443,
145,78507,80327,80125,28345,28938,29665,
146,100207,94080,75428,76450,77503,64119,
147,10886,11697,14479,10775,10998,12655,
148,181121,167875,171913,169495,167944,166881,
149,10789,7855,17481,12021,132906,122256,
150,66749,67942,67908,63990,64050,64486,
151,7283,7021,11208,8818,6704,7364,
152,22563,22222,21783,9421,8809,8596,
153,22327,21696,21054,21315,21623,22261,
154,31283,32045,28974,23386,23958,24740,
155,0,0,0,0,0,0,
156,213495,183680,153743,146971,127546,129998,
157,57314,58489,50452,51573,49061,33931,
158,20732,21451,20808,21761,22762,23139,
159,8328,24491,26085,27644,28884,32930,
160,0,0,0,0,0,0,
161,48659,34763,16158,11950,9903,10224,
162,139762,143515,147037,146117,145884,147645,
163,15648,2008,-4291,-4291,-4291,-4291,
164,1088,1088,5425,5223,1084,1084,
165,20544,19921,20993,21736,23172,22661,
166,3297,11634,12952,39274,5474,14837,
167,112570,109131,118539,115029,115793,118335,
168,0,0,0,0,0,0,
169,88819,77304,79545,55119,45630,45630,
170,3362,64602,18070,910,9080,4839,
171,988,12922,12261,2393,407,2888,
172,152175,148872,145978,139791,142745,146872,
173,2400,2400,2400,2400,2400,1800,
174,167539,171133,173037,170470,174373,163873,
175,1756,2201,923,1751,573,873,
176,96739,98351,100369,101035,101982,103970,
177,471,5261,16436,16071,96,480,
178,5143,2092,1864,969,2500,0,
179,780,0,390,390,390,12190,
180,137264,102545,94692,70484,36308,33201,
181,1267,553,0,202,11990,3359,
182,0,342,0,0,0,0,
183,160843,153543,157871,143690,134386,138038,
184,14023,14224,101479,101454,102861,103921,
185,150406,151415,156476,163330,162163,170867,
186,270160,275565,282023,286199,265201,271381,
187,227,0,354,355,47,605,
188,24249,25952,29915,30215,5964,2800,
189,3280,0,0,0,0,2650,
190,44865,46760,47390,44520,45310,44430,
191,282,282,282,282,454,610,
192,0,0,234,4394,3164,5700,
193,0,0,734,0,390,988,
194,0,2879,1395,3261,0,0,
195,66978,65198,48951,17744,36230,37128,
196,284204,284041,283396,213294,213384,213604,
197,15147,6641,15318,8610,8790,8963,
198,5757,6805,7662,8034,8256,8957,
199,21993,22634,23057,24506,24711,24178,
200,91282,85875,87400,87343,71180,64500,
201,5830,1330,909,390,29570,940,
202,49156,50162,49170,49426,50906,45886,
203,29632,30239,30526,29219,30012,28422,
204,3842,3934,0,0,3353,764,
205,75374,44796,47294,38712,39304,40479,
206,16912,-2,-1,-1,309,9525,
207,42029,42678,11413,12418,12415,13211,
208,1660,2701,1832,919,500,7068,
209,277884,281848,288726,293969,247873,250870,
210,79262,40931,40892,41612,18825,18019,
211,2007,3477,3037,1633,3633,0,
212,0,0,1310,816,0,0,
213,142389,143557,142698,145875,143254,145368,
214,328,413,3007,1927,1838,2472,
215,49320,49724,50218,18983,17435,17057,
216,140133,140414,141314,141000,142358,143358,
217,49100,47910,32842,19748,19403,19536,
218,0,928,1280,1675,97,138,
219,0,650,325,325,325,325,
220,17488,19002,20805,18271,18128,16405,
221,317024,313710,299059,281436,274358,270877,
222,22551,18975,18830,19425,19414,19427,
223,51400,0,0,0,0,0,
224,11511,12521,13851,14558,14847,15157,
225,24068,25071,26103,27113,27495,27914,
226,0,0,0,0,0,0,
227,126599,132527,138945,142235,144959,148697,
228,30773,38879,26128,29137,30283,30523,
229,1570,0,0,0,0,0,
230,17077,17504,16940,19621,18646,19022,
231,165578,153033,133017,19164,3272,11766,
232,69392,64149,53200,29707,28427,10072,
233,0,0,2090,0,0,2820,
234,1946,1473,390,390,390,0,
235,2548,12020,2539,2250,0,2580,
236,0,0,0,0,0,650,
237,4533,9023,8317,12338,12744,12397,
238,330,0,330,330,0,0,
239,1149,1420,1253,190,13390,9902,
240,1952,2787,6316,6504,326,89599,
241,1227,784,1854,396,1950,1099,
242,-6,1160,1807,-11,2220,165,
243,18402,19785,24633,23961,23289,22779,
244,1863,1863,2886,840,2052,1443,
245,236171,228951,220826,191655,162435,132093,
246,112936,117021,107837,96546,95489,97347,
247,29033,17013,7024,7024,7024,7024,
248,5250,1223,2264,3230,0,0,
249,48114,42573,55350,92141,57961,45282,
250,101782,102308,103620,98888,94288,97504,
251,13868,13060,11151,7921,6949,4716,
252,1324,0,0,0,0,0,
253,0,0,306,3670,1473,5555,
254,32488,42449,30042,28987,13104,59204,
255,221,0,0,0,0,0,
256,67671,61346,59100,53133,48598,48882,
257,188,1610,1088,7870,5988,342,
258,174591,175093,176088,155624,141976,141305,
259,142811,139652,111868,107702,103112,103246,
260,176699,188703,184403,90887,90097,90295,
261,51276,52064,53160,54331,53024,51317,
262,272507,219510,217637,177535,178337,180885,
263,206,2522,1261,0,1261,-1261,
264,56341,54869,67965,73871,79707,85433,
265,24239,36674,1558,310852,301854,133761,
266,9899,6000,4100,0,10790,7373,
267,4704,9714,13247,27555,17389,2919,
268,-5684,211466,200304,2735,316,305,
269,48276,47820,46602,47141,16114,15825,
270,24022,24744,24053,25624,25977,25413,
271,213483,216856,220514,217068,5886,11841,
272,3074,-18618,-9415,-9415,-9415,-9415,
273,1617,7785,3420,814,-494,8006,
274,143805,143737,129898,124370,112589,26958,
275,7576,15532,7626,11896,15520,7156,
276,348,7963,198840,390,390,390,
277,181048,186444,188596,192145,195813,198648,
278,8935,9948,10971,11982,12219,12475,
279,9725,10766,12070,11973,10166,7966,
280,38788,18251,19289,19033,20793,23530,
281,-8,-8,2698,6951,12753,12023,
282,13479,14944,16392,17789,18238,17638,
283,67090,67229,24772,20000,20000,20000,
284,36343,27996,25656,16907,15837,11195,
285,-4,-4,3454,0,3312,0,
286,28282,148806,139462,125046,46364,83460,
287,860,102,851,0,346,1592,
288,93029,94054,91834,95631,100123,100738,
289,20610,20005,19331,19333,17363,16314,
290,21003,22309,23343,24336,24475,24643,
291,2549,20499,2499,2499,0,11071,
292,55498,56368,42486,24500,28900,29400,
293,134496,136613,133557,129909,133043,133835,
294,2435,0,0,0,0,0,
295,146277,102869,102283,86370,86432,73607,
296,12805,11784,13589,15301,3169,5106,
297,1742,2524,5097,6107,7141,7355,
298,164824,132485,120267,117453,115778,117411,
299,157453,155081,137027,70845,0,0,
300,2995,2401,2277,500,3586,7399,
301,2930,459,2613,22315,26911,35239,
302,24579,23741,11666,11806,11081,11396,
303,1731,6763,0,5717,10134,1045,
304,30517,31866,29647,29539,31384,31924,
305,21760,22794,23801,24117,24468,25106,
306,132024,135687,138933,139824,142461,145269,
307,390,0,780,0,0,0,
308,11951,16332,20391,22104,26361,34333,
309,6892,6892,6892,6282,8282,0,
310,30627,3693,6696,2461,4192,4378,
311,132250,132655,135959,139796,143642,147418,
312,94257,78728,65747,67046,69938,74800,
313,245338,234661,234364,235982,239281,244329,
314,0,0,0,0,0,0,
315,0,0,0,0,0,0,
316,58197,47537,46576,41376,36959,35508,
317,0,327,1871,337,1846,333,
318,20157,19295,13531,10129,11581,12782,
319,-73,-73,-73,-73,-73,-73,
320,278,278,278,278,278,428,
321,-190,6509,0,0,0,0,
322,390,390,390,1052,662,1202,
323,76817,74554,43727,16307,1755,470,
324,173517,160996,132054,115551,109539,108837,
325,53456,53862,39505,45373,46641,47569,
326,33400,36348,36163,32653,30821,29827,
327,46430,47679,48783,49981,44211,48568,
328,35417,36453,37166,39710,40519,41324,
329,2400,2400,2400,2400,2400,2400,
330,134505,135624,129959,93360,90040,89873,
331,4157,601,432,1602,3017,937,
332,30832,33652,35192,30000,10766,33887,
333,75834,-105,37649,45469,20020,3167,
334,5880,18368,591,13654,45363,2640,
335,20873,22228,22691,22816,26587,22917,
336,58543,54902,54590,53037,54100,53889,
337,10350,3629,3271,6271,2135,2546,
338,24635,23020,22496,22070,22101,20724,
339,15512,2552,13890,2545,15688,3088,
340,1126,1113,1092,1415,1115,569,
341,390,0,780,0,0,0,
342,13611,15066,15882,12599,18599,12284,
343,52437,50473,45087,35424,31760,31214,
344,66874,132127,52335,27374,27133,10721,
345,173922,164939,165597,163424,163204,159257,
346,21062,6495,2207,0,0,0,
347,1877,4094,4664,3878,22483,4097,
348,107339,109029,106974,97327,60454,59062,
349,15952,29836,1860,1535,0,0,
350,0,0,568,16166,16726,17427,
351,24477,23722,4791,3516,7475,5352,
352,-200,-200,-200,-200,-200,-200,
353,3300,1300,3074,594,0,0,
354,98285,94075,92857,95351,95525,96980,
355,2667,2478,6406,6216,5258,7002,
356,168382,175646,180650,182672,168399,167983,
357,34639,41481,25747,5749,10370,14161,
358,24297,28804,43996,47532,49414,51380,
359,2941,1436,12900,3026,2168,487,
360,75264,75919,78078,28868,29174,29444,
361,4882,4882,4876,4666,4884,4666,
362,126785,129752,132554,268084,137061,129250,
363,1246,1217,338,0,0,0,
364,13447,17877,25172,4694,6292,13943,
365,48138,49262,49878,16748,17177,17691,
366,60808,196,3290,3089,3601,3396,
367,4213,187,7884,1842,1129,7592,
368,9013,8714,9121,9926,8898,7667,
369,26149,26660,27637,22521,20533,14659,
370,99687,0,0,0,0,18000,
371,49006,49139,47608,3990,390,0,
372,1490,3687,1352,960,4921,3031,
373,75811,77554,79418,80608,81297,83602,
374,-471,-471,157,20697,23906,23906,
375,92464,91709,92412,91297,91790,91377,
376,78294,79247,74954,79356,48981,46848,
377,57966,3751,72334,73396,12271,24278,
378,13881,11494,5847,4871,3007,2136,
379,29341,27139,13295,14126,12185,8419,
380,-200,-200,199672,199272,199272,0,
381,64586,62983,64885,68164,66948,71122,
382,336,168,432,0,0,0,
383,38000,25000,0,0,0,0,
384,530,530,-102,-418,-418,1647,
385,20730,17107,35884,31057,29052,25933,
386,183594,191367,192221,136916,99307,98753,
387,89055,90780,70947,72367,73875,75355,
388,3833,4890,4157,14342,11411,3006,
389,23268,24377,27164,26429,28291,27702,
390,0,1690,0,0,0,4750,
391,48135,15317,12579,29035,17878,18586,
392,0,0,277510,279493,285447,291183,
393,168,569,1401,1503,834,931,
394,52306,3638,11649,24140,5803,5937,
395,201864,121338,146685,137993,90715,92759,
396,9000,0,0,0,0,0,
397,4125,5840,4464,8722,4137,4123,
398,577,27895,-4247,4347,5562,0,
399,68532,69475,69582,69589,68728,69304,
400,1091,390,1554,390,780,390,
401,5360,726,6992,3741,10138,15745,
402,8634,3192,1352,13352,0,0,
403,8676,10599,5814,4426,3038,5184,
404,8184,5011,5728,4255,2782,1309,
405,45390,46210,46549,20084,20264,19064,
406,0,0,0,0,0,0,
407,106164,105133,100606,93022,61746,47819,
408,61851,62271,63154,63519,64351,67122,
409,20907,22236,23250,23564,30882,30242,
410,163529,129341,106390,82181,79402,72121,
411,54598,48568,43140,34039,26622,11891,
412,301651,329277,275075,280512,202300,207510,
413,6393,10540,10232,11237,11427,20973,
414,1767,-3355,-3987,-1987,1697,4347,
415,81963,93893,100177,-3849,304425,293920,
416,2566,7255,24974,25256,29627,17765,
417,960,8154,1477,15713,8988,25449,
418,0,0,200,0,16418,88632,
419,114838,111226,104301,84132,79043,78205,
420,16609,16057,18089,17504,18727,18279,
421,980,960,20924,65041,50983,48533,
422,2774,0,0,0,0,5347,
423,135538,113464,88629,71435,69725,69714,
424,26597,27141,25567,21794,20911,14023,
425,49593,49918,51402,49020,50679,51568,
426,7081,6819,7996,9004,9180,9371,
427,224387,165727,119760,72506,60548,57212,
428,11536,3408,8220,2287,10969,5395,
429,47864,99572,50396,9430,9638,9801,
430,1134,2985,240,1041,-12,6449,
431,10658,9288,390,390,390,0,
432,54506,56998,59111,59595,58079,56892,
433,77627,80712,48428,52391,23359,24597,
434,18883,20272,22577,21037,22373,23352,
435,28347,29880,29588,30687,25637,26468,
436,18908,19232,20087,19874,19963,14879,
437,46806,46176,47151,47251,20515,19404,
438,42115,41164,43658,44644,43798,44912,
439,2571,2772,2571,2571,2571,2571,
440,836,836,836,836,1972,986,
441,-13,2750,-27,5344,16566,995,
442,121697,120133,118496,116033,114617,108328,
443,753,6213,762,5106,700,1364,
444,18019,9946,10319,8603,7298,6709,
445,2978,125,15064,101,1011,1411,
446,290,930,977,0,0,0,
447,1626,1443,1443,1443,9629,1773,
448,51979,51016,54736,55424,56101,57137,
449,3102,552,31029,7731,1154,799,
450,25123,27773,28627,32708,31886,33808,
451,-348,-738,-738,-1518,-1518,-1518,
452,26536,26443,18486,19077,18487,18429,
453,57846,50663,45515,42599,38559,36337,
454,118287,117775,117106,118207,116885,123040,
455,47867,40937,28868,44751,27557,29125,
456,621,11368,2370,2823,2243,4322,
457,6649,15819,10986,8184,14936,19573,
458,32440,13447,17877,25172,4694,6292,
459,8144,7824,7500,7500,7500,7500,
460,36395,35945,36381,36594,37010,36334,
461,6154,6000,5762,0,0,3117,
462,82628,134880,67325,68652,70388,76743,
463,5433,12906,7044,6787,6534,6277,
464,2202,2900,2335,7278,6646,5324,
465,3997,2522,0,1919,2658,2497,
466,16919,17854,18265,20455,19986,21747,
467,9536,0,1261,1261,2522,1261,
468,20540,8985,8941,8564,6281,6965,
469,162,1879,1707,617,620,0,
470,26773,700,46727,46367,46191,20019,
471,95890,95434,97410,98611,100787,102261,
472,47364,48355,49715,49736,17599,16753,
473,16486,15725,18210,10784,41477,6879,
474,59524,57898,57739,55499,48246,47850,
475,92575,86147,87889,61123,59395,52189,
476,872,3345,2962,6139,1842,1115,
477,25156,25949,28478,27754,28186,30240,
478,91140,93011,90634,95464,99894,98171,
479,13867,14834,15931,15850,16226,14411,
480,-1,-1,-1,-1,349,350,
481,6283,0,0,0,0,0,
482,46335,45319,50030,48940,48026,55979,
483,6694,17470,15091,1587,61385,56252,
484,25370,18078,21245,36737,37071,24930,
485,120767,133593,125852,118254,120537,112021,
486,126251,128542,122493,124743,127507,121400,
487,903,1711,1292,885,1292,795,
488,60760,60011,61333,60082,38897,39422,
489,133374,40283,49746,51500,0,0,
490,18490,25404,19789,19985,19676,6971,
491,92579,94451,96041,98301,74624,75173,
492,85863,78125,68899,69131,29289,29898,
493,30439,1844,844,614,2887,3850,
494,22578,23720,23046,23314,23801,24354,
495,14498,7512,7308,5275,0,0,
496,48684,49466,50544,25381,9652,9464,
497,65520,0,0,0,0,17480,
498,2153,9869,4055,3000,3000,8063,
499,17219,14640,19400,0,0,17666,
500,136497,135505,137629,120147,122247,122574,
501,519,518,2784,2360,1908,97,
502,30400,34756,29530,27620,32364,34041,
503,19725,17368,16801,17789,17419,17628,
504,17794,23518,28139,32711,36215,40650,
505,27964,25817,27097,27930,16288,17023,
506,0,0,0,0,0,0,
507,127496,128675,131640,134183,91772,94290,
508,47405,50138,25768,26142,26771,27175,
509,16289,15735,18164,19143,20143,20446,
510,52373,51839,39847,39114,39935,41269,
511,70257,73151,47298,25692,24542,23697,
512,7357,8270,9301,10440,11193,10575,
513,113722,110525,103632,-36,-18,-18,
514,33390,34832,35472,38369,42729,41496,
515,416,416,416,3541,416,416,
516,238708,313903,323841,319331,316208,304388,
517,18100,6826,7582,8082,8082,8082,
518,195038,189067,180389,137030,129222,122229,
519,60839,59316,59707,18490,19505,20197,
520,22396,24758,22546,22204,22107,21745,
521,201666,200757,192231,187486,191019,186529,
522,55544,57428,58917,60352,61167,63042,
523,38540,38898,39669,40167,37162,36557,
524,15610,18250,0,0,0,1000,
525,69099,69684,64801,64863,123234,60733,
526,375392,373004,371567,375352,316076,314588,
527,17989,17417,19807,20186,19725,22225,
528,7274,6280,21016,14422,5157,6579,
529,48508,49213,38280,12305,6436,0,
530,83845,87580,84140,86400,87275,89082,
531,3386,5964,1340,1650,4350,4792,
532,108426,109889,84897,82608,84388,86096,
533,15527,16882,18190,27465,27643,27816,
534,44912,11409,-61506,3859,415,415,
535,140172,141528,141411,143748,147159,151185,
536,5561,4141,7714,9772,13539,5819,
537,20335,21699,22460,20345,42123,19852,
538,35515,36619,37725,38792,39447,40361,
539,0,0,0,0,0,0,
540,5855,13645,9127,9656,41434,21732,
541,189567,189023,187521,182671,174794,182160,
542,1024,264,264,264,42515,43104,
543,0,800,400,0,950,400,
544,89603,88232,85362,74552,59902,42254,
545,140327,143137,145374,147273,149244,151973,
546,3450,12113,16152,19443,19189,13947,
547,2680,-1045,44316,45361,46135,46029,
548,65531,64149,46188,42793,30466,25583,
549,4671,928,5384,499,596,2338,
550,163951,136825,140450,116293,118759,108766,
551,6061,3656,0,0,0,0,
552,36108,34256,36357,37878,39489,41833,
553,35038,36558,39070,40545,42995,46278,
554,126113,107216,88039,83304,77605,70260,
555,9514,2067,-6,-409,793,2385,
556,25469,26663,28509,27381,29054,28052,
557,18776,21458,22760,23215,23706,21951,
558,41740,42755,43878,42877,45701,46720,
559,60246,74832,126778,82611,71338,29756,
560,17723,19440,14945,12966,14882,8105,
561,138834,143518,146714,148787,152306,155690,
562,212948,188435,182687,153366,114451,122489,
563,25239,26847,26319,26868,25345,26781,
564,269781,275773,282818,289012,123239,123812,
565,20451,20426,19894,20294,20145,20175,
566,131351,132453,128901,132982,141298,137347,
567,10831,17816,18247,33230,5168,0,
568,19949,19356,19849,20301,17951,17254,
569,119511,116086,117580,120041,80578,82280,
570,505128,500867,489856,356583,289398,274590,
571,31327,31495,27682,28418,29442,30213,
572,5119,20927,3702,3673,1883,384,
573,540,1283,843,0,444,0,
574,49212,49243,5112,48455,48456,47234,
575,54332,51671,50272,49293,47154,50069,
576,112460,29300,8500,0,8500,8535,
577,0,0,0,0,0,0,
578,3752,2730,500,2727,712,0,
579,30501,33113,33967,28115,27529,29896,
580,23833,17815,15140,140,3090,180,
581,1493,1492,1310,1310,2046,1574,
582,40496,3880,1377,4007,7742,11376,
583,130888,133400,0,0,0,0,
584,43314,44325,45375,44350,46996,47951,
585,21723,21097,22140,18349,3540,0,
586,5285,4053,1405,3844,3427,417,
587,49469,42983,40307,17575,14691,14393,
588,48848,49988,45434,34688,24124,21072,
589,-200,-200,-200,150,150,350,
590,392906,400864,410877,419454,1356,1362,
591,6632,7095,7565,8854,9229,8376,
592,326,326,546,546,546,1225,
593,0,935,1490,0,3938,0,
594,264549,227021,233426,230319,127897,118868,
595,21249,20771,17626,10078,9654,9648,
596,2431,5026,3720,3465,4218,2913,
597,18311,19598,20154,20132,20129,20226,
598,30376,32715,60927,76088,110294,108964,
599,14015,15377,16393,14855,12662,9628,
600,256324,250666,245741,240132,234520,227149,
601,875,375,-250,-125,609,362,
602,4003,2877,3190,389,389,389,
603,21333,16560,12570,19403,10063,8628,
604,6062,-900,-900,1905,897,4641,
605,60753,54892,59268,17967,20309,17867,
606,5512,19420,1473,560,0,0,
607,60672,58929,60335,59384,60861,59241,
608,2400,2400,2400,2400,2400,1800,
609,34542,30557,29577,29529,28276,28768,
610,15695,11551,6224,14959,6885,22107,
611,93625,101723,95390,102203,47388,73230,
612,0,-416,-1248,832,416,1398,
613,171992,175427,150965,71478,72955,74426,
614,1250,1250,1250,1250,1250,650,
615,30121,31295,19100,18900,0,3900,
616,1207,0,174,1200,1434,0,
617,225844,219261,206742,255079,208755,196701,
618,29308,20491,20846,20247,19551,18617,
619,15605,20649,22397,23305,25341,30584,
620,30937,32627,31827,32080,30890,990,
621,124233,125768,126202,127677,99764,0,
622,10486,32539,10644,7780,19099,4281,
623,125,-18088,1664089,121757,97115,377217,
624,150,150,150,150,150,150,
625,63995,65347,66705,68506,69787,68844,
626,36838,37785,32905,29866,30503,28518,
627,68670,69702,70015,72073,71690,73661,
628,44625,46078,46689,8261,8434,8738,
629,125679,113486,116427,103550,64527,64030,
630,6795,10398,10094,9768,8430,20735,
631,1344,-6,2190,3475,1791,2993,
632,25945,21237,16723,15868,8275,5954,
633,316,316,0,316,632,0,
634,49583,53275,51960,49723,47120,46188,
635,128821,93626,52074,118595,93461,86682,
636,183214,167757,170663,169291,140384,138574,
637,211775,218246,218615,221365,137387,201955,
638,26844,26414,27189,28235,28669,29355,
639,35429,30626,30241,20284,19166,19567,
640,10025,9787,8127,8850,9262,5789,
641,48047,46593,46945,21260,70,29575,
642,347994,311267,365723,370496,374405,373155,
643,481,1149,39674,38968,39853,8064,
644,7486,9354,7183,7814,7814,7190,
645,208,2906,1000,630,0,0,
646,2848,1941,0,0,0,0,
647,1072,5122,4440,4050,3660,3660,
648,41906,17969,29789,11740,27004,4039,
649,67714,51385,35160,13425,8517,6174,
650,21679,18566,19918,19584,18508,20047,
651,40559,44565,46815,52978,53970,56064,
652,86,7024,1466,1466,479,2448,
653,71017,64454,64182,30351,29826,29699,
654,48418,44734,47178,29582,38426,42500,
655,57566,55340,43455,33039,18638,14202,
656,3166,6896,416,416,416,412,
657,10522,10148,8587,8366,8528,7030,
658,0,0,0,0,0,0,
659,0,0,0,0,0,0,
660,48591,37944,50135,49526,19686,19374,
661,24729,22719,18408,19330,19561,19815,
662,1320,1320,1320,1320,1320,1320,
663,55237,55664,51436,34260,36564,33331,
664,42238,29224,23807,17623,17974,18350,
665,11211,12329,11846,25920,8035,8521,
666,1572,1386,999,2640,1000,0,
667,0,0,0,0,0,0,
668,8506,10194,10928,10456,11279,12095,
669,25893,30628,29368,27769,25999,26924,
670,156021,155635,156094,159376,158235,163963,
671,198595,194734,190447,187224,183641,178239,
672,133115,41300,0,0,0,2538,
673,555,8078,27201,27879,28420,39206,
674,108924,109705,108748,108116,108951,109901,
675,118402,119764,72050,0,0,0,
676,-200,-200,-200,0,2769,0,
677,214022,393664,235392,232640,239004,236657,
678,15003,15955,15410,17149,18362,18919,
679,18781,13255,0,20358,18044,20325,
680,254679,179510,212496,51953,74870,-2313,
681,228342,189966,142377,143828,143698,143342,
682,69564,51264,51584,49601,50485,50565,
683,16496,15610,7486,5692,5206,6159,
684,0,0,4070,3825,3825,0,
685,100037,101163,102712,99925,836,79013,
686,75296,76672,78343,79111,79993,81279,
687,138380,141223,156858,151841,152803,155997,
688,5988,0,0,0,0,0,
689,114690,117682,120777,123835,127830,130931,
690,8135,12621,17987,-99,-99,-99,
691,440474,444370,455286,327021,334558,341439,
692,51129,50378,48282,0,2068,30135,
