ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
70,2,0,0,0,0,0
71,-1,-1,-1,-1,-1,-1
72,2,2,2,2,2,2
73,-1,-1,-1,-1,2,-1
74,1,-2,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1
76,0,0,2,0,0,0
77,-1,0,0,0,0,0
78,-1,-1,-1,-1,-1,-1
79,0,0,0,0,0,0
80,1,-2,-2,-2,-2,-2
81,0,0,0,0,0,0
82,0,0,0,0,0,-1
83,0,0,0,0,0,0
84,0,0,2,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,-1,-1,2,0,-1,-1
88,0,0,0,0,0,-1
89,0,0,0,-1,-1,-1
90,2,2,0,0,0,2
91,2,2,2,2,2,2
92,-1,-1,-1,0,0,-2
93,-2,-2,-2,-2,-2,-2
94,-1,-1,-1,-1,-1,-2
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,-1,-1,-1,-1,-1,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,-1
101,-2,-2,-2,-2,-2,-2
102,-2,-2,-1,0,0,0
103,0,0,0,2,2,0
104,0,0,0,0,0,0
105,2,2,2,2,2,0
106,-1,-1,-2,-2,-2,-1
107,-1,-1,-1,-1,-1,-1
108,-1,-1,-1,-1,-1,-1
109,0,0,0,-1,-1,-1
110,1,-2,-2,-2,-2,-2
111,0,0,2,0,0,0
112,0,0,2,0,0,0
113,2,2,2,2,2,3
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,-1,2,0,0,3,2
117,-1,-1,-1,-1,-1,-1
118,2,0,0,0,0,0
119,-1,-1,-1,-1,-1,-1
120,0,0,0,0,-1,-1
121,2,2,2,3,2,2
122,1,-2,-2,-2,-2,-2
123,1,-2,-2,-2,-2,-2
124,2,0,0,0,0,0
125,0,0,0,0,0,0
126,1,-2,-2,-2,-2,-2
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,3,2,2,0,0,0
131,1,-2,-2,-2,-1,-1
132,1,-1,-1,0,0,-1
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,2,2,2
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,-1,-1,-1,-1,-2,-2
140,0,0,0,0,0,0
141,1,-2,-2,-2,-2,-2
142,-1,-1,-1,-1,-1,-1
143,1,2,2,2,0,0
144,-2,-2,-2,-2,-2,-2
145,-1,-1,-1,-1,0,-1
146,0,0,0,0,0,3
147,0,0,0,0,0,0
148,1,2,0,0,0,0
149,1,2,3,2,0,0
150,1,-2,-1,-1,-1,-1
151,0,0,0,0,2,0
152,0,0,0,0,0,0
153,1,-1,-1,-1,-1,-2
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,2,3,4,4,5,6
160,3,2,0,0,0,0
161,2,2,2,2,2,0
162,2,-1,-1,-1,-1,2
163,-1,-1,-1,-1,0,-1
164,0,0,2,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,-2,-2,-2,-2,-2,-2
168,-1,2,2,0,0,0
169,0,0,0,0,0,2
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,-1,-1,-1,-1,-1,-1
173,-1,0,0,0,0,0
174,1,-2,-2,-2,-2,-2
175,1,-2,-1,-1,-2,-2
176,1,2,2,2,2,3
177,-2,-1,0,0,0,0
178,1,2,0,0,0,2
179,0,0,0,0,0,0
180,0,0,2,0,0,0
181,-1,-1,2,0,0,-1
182,0,-1,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,-1
186,1,2,0,0,2,0
187,1,-1,-1,-1,-1,-1
188,2,2,2,2,2,2
189,1,-1,0,0,0,0
190,1,5,4,4,3,2
191,0,0,0,0,0,0
192,2,0,0,0,2,0
193,-1,-1,-1,-2,-1,0
194,-1,-1,2,0,0,-2
195,0,0,0,0,-1,-1
196,1,2,2,2,2,2
197,-2,-2,-2,-2,-2,-2
198,0,0,0,0,-1,0
199,-2,-2,-2,-1,-1,-1
200,1,2,2,0,0,0
201,-2,-2,-2,-2,-2,-2
202,0,0,2,0,0,2
203,-1,0,-1,-1,-1,-1
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,-1,-1,0,0,0,0
207,-1,-1,-1,-1,-1,-1
208,-1,-1,-1,-1,-1,-1
209,0,0,0,0,0,0
210,-1,-1,-1,-1,-2,-2
211,0,0,0,-1,-1,-1
212,1,-2,-1,0,-1,-1
213,0,0,0,0,0,0
214,0,0,0,2,0,0
215,2,2,2,2,0,0
216,-1,-1,-1,-1,-1,2
217,1,-2,-2,-2,-2,-2
218,2,0,0,0,0,0
219,0,0,0,0,0,0
220,-1,-1,-1,-1,-2,-2
221,2,2,2,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,1,3,2,0,0,0
226,0,0,0,0,0,0
227,-1,-1,-1,-1,-1,-2
228,0,0,0,0,0,0
229,2,0,0,0,0,0
230,1,2,0,0,0,0
231,0,0,0,0,0,0
232,1,2,0,0,2,0
233,0,0,-2,-1,-1,0
234,2,0,0,0,2,2
235,0,0,0,0,0,0
236,-1,-1,-1,-1,-1,-1
237,0,0,0,0,0,0
238,-2,-2,-2,-2,-1,-1
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,1,2,2,-2,-2,-1
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,-1,-1,2,2,-1,-1
245,-1,-1,2,2,2,2
246,0,0,0,0,0,-2
247,0,-1,-1,-1,-1,-1
248,0,0,0,0,0,0
249,0,0,0,0,2,0
250,0,0,0,0,0,0
251,1,2,2,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,-1,0
255,-1,0,-1,-1,-1,-1
256,0,0,0,0,0,0
257,0,-1,-1,-1,-1,-1
258,-1,-1,-1,-1,0,-1
259,0,0,-2,-2,-2,-2
260,2,0,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,-1,-1,-1,-1,2,-1
264,-2,-2,-2,-2,-2,-2
265,-1,-1,-1,-1,-1,-1
266,-1,-1,-2,-1,-1,-1
267,0,0,0,0,0,2
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,3,2,2,0,0,-1
271,0,0,0,0,0,0
272,-1,2,-1,0,0,0
273,1,-2,-2,-2,-2,-2
274,0,0,0,0,0,0
275,-2,-2,-2,-2,-2,-2
276,0,0,0,0,0,0
277,2,-1,-1,-1,-1,-1
278,-1,-1,-1,-1,-1,-1
279,0,0,0,0,0,0
280,0,0,0,0,0,0
281,0,0,-1,0,0,-2
282,0,0,0,0,-1,-1
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,-1,-1,-1,-1,-1,-1
287,2,0,0,0,0,0
288,0,0,0,0,0,0
289,2,0,0,0,0,0
290,0,0,0,0,0,0
291,-1,-1,-1,-1,-1,-1
292,1,-2,-2,-2,-2,-2
293,3,2,2,2,2,2
294,0,0,2,0,0,0
295,1,-2,-2,-2,-2,-2
296,0,0,0,0,0,0
297,-1,-1,-1,-1,-1,-1
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,1,-2,-1,0,-1,-1
301,0,0,0,0,0,0
302,-2,-2,-2,-2,-2,-2
303,0,0,0,0,0,0
304,0,0,2,0,0,0
305,-1,-1,-1,0,0,0
306,-2,-2,-2,-2,-2,-2
307,-1,-1,-1,-1,-1,-1
308,1,-1,-1,-2,-2,-2
309,2,2,2,3,3,4
310,-1,-1,-1,-1,-1,-1
311,-1,0,-1,-1,0,-1
312,0,0,0,0,0,0
313,0,0,0,2,0,0
314,-1,2,2,2,0,0
315,0,0,0,0,0,0
316,0,0,0,0,0,0
317,0,0,0,0,0,0
318,1,-1,-1,-2,-2,-1
319,3,2,2,0,0,0
320,1,-2,-2,-2,-2,-2
321,1,2,2,0,0,0
322,0,0,0,0,0,0
323,-1,0,0,0,0,0
324,0,0,0,-2,-1,-1
325,0,0,0,0,0,0
326,1,-2,-1,0,0,0
327,-1,2,2,-1,2,-1
328,2,2,2,2,2,0
329,-2,-1,-1,-2,-2,-2
330,2,2,2,2,2,2
331,1,-1,2,-1,-1,-1
332,0,0,2,0,0,0
333,1,2,0,0,0,0
334,1,-2,-2,-2,-1,-1
335,0,0,0,0,0,0
336,0,0,0,0,0,0
337,0,0,0,0,0,0
338,-2,-2,-2,-2,-2,-2
339,0,0,0,0,0,0
340,-1,-1,0,-1,-1,-1
341,-2,-2,-2,-2,-2,-2
342,0,0,0,0,-1,0
343,-1,2,-1,-1,-1,2
344,0,0,-1,0,0,-1
345,0,0,0,0,0,0
346,-1,-1,-2,-1,0,0
347,-1,-1,-1,0,0,0
348,0,0,0,0,0,0
349,0,0,0,0,0,0
350,0,0,0,0,0,0
351,0,0,-1,0,0,-1
352,1,-2,-1,-1,-2,-1
353,1,-2,-2,-2,-2,-2
354,0,0,0,0,0,0
355,2,2,2,0,0,2
356,-1,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,0,0,0,0,0,0
360,-1,-1,-1,-1,-1,-1
361,4,3,2,0,0,0
362,0,0,0,0,0,0
363,4,3,2,0,0,0
364,1,-2,-1,0,-1,-1
365,-2,-2,-2,-2,-2,-2
366,1,-1,-1,-2,-1,-1
367,0,0,0,0,0,0
368,-1,2,2,2,0,0
369,1,-2,-2,-2,-2,-2
370,3,2,0,0,0,0
371,2,2,-2,-2,-2,-2
372,-1,-1,-1,-1,-1,-1
373,0,0,0,2,2,2
374,0,0,0,0,0,0
375,0,0,0,0,0,0
376,0,0,0,0,0,0
377,1,2,0,0,0,2
378,-1,0,0,-1,-1,-1
379,0,0,0,0,0,0
380,0,0,0,0,0,0
381,0,0,0,0,0,0
382,2,2,2,0,0,0
383,0,0,0,0,0,0
384,-1,0,0,2,0,0
385,0,0,0,0,0,-2
386,0,0,0,0,0,0
387,1,-1,-1,-2,-2,-2
388,-1,0,0,2,2,2
389,0,0,0,0,0,0
390,-1,-1,-1,0,0,-1
391,1,-2,-2,-2,-2,-2
392,1,-1,0,0,0,0
393,0,0,0,0,0,0
394,0,0,0,0,0,0
395,-1,-1,-1,-2,-2,-2
396,0,0,0,0,0,0
397,0,0,0,0,0,0
398,-2,-2,-2,-2,-2,-2
399,0,0,0,0,0,0
400,2,2,2,2,2,2
401,0,0,0,0,0,-1
402,0,0,0,0,0,0
403,-1,-1,-1,-1,-1,2
404,0,0,0,0,0,0
405,2,2,2,2,2,2
406,-2,-2,-2,-2,-2,-2
407,0,0,0,-2,-2,-2
408,1,2,0,0,0,0
409,0,0,0,0,0,0
410,0,0,0,0,0,0
411,1,2,2,2,2,2
412,-1,-1,-2,-1,-1,-2
413,1,-2,-1,-1,-1,-1
414,1,2,0,0,0,0
415,-2,-2,-2,-2,-2,-2
416,-1,-1,-1,-2,-2,-2
417,-2,-2,-2,-2,-2,-2
418,0,0,0,0,0,2
419,0,0,0,0,0,0
420,1,-2,-2,-2,-2,-2
421,2,0,0,0,0,2
422,0,0,0,0,0,0
423,-1,-1,-1,-1,-1,-1
424,2,2,2,0,0,0
425,0,0,0,0,0,0
426,-1,-1,-2,-2,-2,-2
427,2,2,2,2,0,0
428,-1,-1,-1,-1,0,-1
429,0,0,0,0,0,0
430,0,0,0,0,0,0
431,0,0,0,0,0,0
432,0,0,0,0,0,0
433,0,0,0,0,0,0
434,0,0,0,0,0,0
435,0,0,-1,-1,-1,-2
436,1,2,2,2,2,2
437,-1,-1,-2,-1,2,-1
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,0,0,0,0,0,0
441,-1,-1,-1,-1,0,0
442,0,0,0,0,2,2
443,1,-2,-1,-1,-1,-1
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
448,-1,-1,-1,0,0,-1
449,0,0,0,0,0,0
450,0,0,0,2,0,0
451,1,-2,-2,-2,-2,-2
452,2,2,0,0,0,0
453,0,0,0,-1,0,0
454,0,0,-2,-2,-2,-2
455,0,0,0,0,0,0
456,0,0,0,0,0,-1
457,1,2,2,2,2,2
458,-1,0,0,0,0,-2
459,-1,-1,-1,-1,-1,-1
460,0,0,0,0,0,-1
461,0,0,0,0,0,0
462,-1,-1,-1,-1,-1,-1
463,0,0,0,-1,-1,0
464,0,0,0,0,0,0
465,1,-2,-1,-1,-2,-1
466,-1,0,0,0,0,0
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,0,0,0,-1,0,0
470,-1,-1,-1,-1,-1,-1
471,0,0,0,0,0,0
472,0,0,0,0,0,0
473,-1,-1,-1,-1,-1,-1
474,1,2,2,0,0,2
475,-1,-1,-1,-1,-1,-1
476,0,0,0,0,0,0
477,0,0,0,0,0,0
478,0,0,0,2,0,0
479,-1,2,-1,-1,-1,0
480,-2,-2,-2,-2,-2,-2
481,0,0,0,0,-1,2
482,0,0,2,2,2,2
483,0,0,0,0,-1,2
484,1,2,2,2,2,2
485,-1,-1,-1,-1,-1,-1
486,0,0,0,0,0,0
487,-1,-1,-1,-1,-1,-1
488,0,0,0,0,0,0
489,-1,-1,-1,0,-1,-1
490,-1,-1,-1,-1,-1,-1
491,-2,-2,-2,-2,-2,-2
492,2,2,2,2,2,0
493,0,0,0,2,0,0
494,0,0,-1,-1,-2,-2
495,0,0,0,0,0,0
496,-1,-1,-1,-1,-1,-1
497,0,0,0,0,0,0
498,0,0,2,0,0,0
499,-1,-1,-2,-1,-1,-1
500,0,0,0,2,2,0
501,0,0,0,0,2,2
502,1,2,2,2,2,2
503,0,0,0,0,0,0
504,0,0,0,0,0,0
505,-2,-2,-2,-2,-2,-2
506,-1,-1,-1,-1,-1,-1
507,-1,-1,-1,0,0,-1
508,0,0,0,0,0,2
509,0,0,0,0,0,2
510,-1,-1,-2,-1,-1,-2
511,-1,-1,-1,-1,-1,2
512,-1,-1,-1,-1,-1,-1
513,-1,-1,-1,-1,-1,-1
514,2,2,2,2,2,2
515,0,0,2,0,0,0
516,0,0,-1,0,0,0
517,0,0,0,0,0,0
518,0,0,0,0,0,0
519,1,2,0,0,0,0
520,0,0,0,0,0,0
521,0,0,0,0,0,0
522,1,-1,0,0,0,0
523,-1,-1,-1,0,0,-1
524,0,0,0,0,0,0
525,0,0,0,0,0,0
526,-1,-1,-1,-1,-1,-1
527,1,2,0,0,0,2
528,2,2,0,0,0,0
529,1,-2,-2,-2,-1,-1
530,-1,-1,2,2,-1,-1
531,0,0,0,0,0,0
532,0,0,0,0,0,0
533,0,0,2,2,2,0
534,2,0,0,3,3,2
535,-2,-2,-2,-2,-2,-2
536,-1,-1,0,-1,-1,0
537,0,0,0,0,0,0
538,0,0,0,0,0,0
539,0,0,0,-2,-1,-1
540,1,2,2,2,2,2
541,-1,-1,-2,-2,-1,-1
542,1,-2,-2,-2,-2,-1
543,2,3,2,2,0,0
544,0,0,0,0,-1,-1
545,-1,0,0,-1,0,-1
546,0,0,0,0,0,0
547,1,-2,-2,-2,-2,-2
548,-2,-2,-2,-2,-2,-2
549,-1,-1,0,0,0,0
550,0,0,0,0,0,0
551,0,0,2,2,2,0
552,-1,-1,-1,-1,-1,-1
553,0,0,0,0,0,0
554,1,-1,-1,-2,-2,-2
555,-2,-2,-2,-2,-2,-2
556,0,0,0,-1,-1,-2
557,-2,-2,-2,-2,-2,-2
558,0,0,2,2,2,2
559,0,0,0,-2,-2,-2
560,0,0,0,0,0,0
561,-1,-1,0,-1,-1,-1
562,-2,-2,-2,-2,-2,-2
563,-1,-1,-1,-1,-1,-1
564,-1,0,0,0,0,0
565,2,2,2,-1,2,2
566,-2,-2,-2,-2,-2,-2
567,0,0,0,0,0,0
568,-1,-1,-1,-1,-1,-1
569,0,0,0,0,0,0
570,0,0,0,-2,-2,-2
571,1,-1,-1,-1,-1,-1
572,0,0,0,0,0,0
573,-1,-1,-1,-2,-2,-1
574,-2,-1,-1,0,-1,-1
575,-1,-1,-1,-1,-1,-1
576,2,0,0,0,0,0
577,-1,-1,-1,0,0,0
578,-1,-1,-1,-1,2,-1
579,0,0,0,0,0,0
580,-2,-1,-1,-1,-1,-2
581,1,-1,-1,-2,-2,-2
582,-1,0,0,0,0,0
583,-1,-1,-1,-1,-1,-1
584,0,0,0,0,0,0
585,0,0,0,0,0,0
586,0,0,0,0,0,2
587,1,-2,-2,-2,-2,-2
588,-1,-1,2,-1,-1,-1
589,0,0,0,0,0,0
590,-1,-1,0,0,-1,-1
591,0,0,0,-1,0,0
592,0,0,0,0,0,0
593,0,0,0,0,0,0
594,0,0,0,0,0,0
595,0,0,0,0,0,0
596,0,0,0,0,0,0
597,0,0,0,0,0,0
598,1,-2,-2,-2,-2,-2
599,2,0,0,0,0,0
600,-1,-1,2,0,-1,-1
601,0,0,0,0,0,0
602,-1,-1,-1,-1,-1,-1
603,0,0,0,0,0,0
604,2,2,2,0,0,2
605,1,-2,-2,-2,-2,-2
606,1,2,2,2,2,2
607,0,0,0,0,0,-2
608,0,0,0,0,2,0
609,-2,-2,-2,-2,-2,-2
610,-1,-1,-1,-1,-1,-1
611,0,0,-1,-1,-1,-1
612,0,0,-2,-2,-2,-1
613,0,0,0,0,0,0
614,2,2,0,0,0,0
615,1,2,2,2,2,2
616,0,0,0,0,0,0
617,1,-2,-2,-2,-1,-1
618,0,0,0,0,0,0
619,0,0,0,0,0,0
620,0,0,0,0,0,0
621,0,0,0,0,0,0
622,-1,-1,-1,-1,-1,-1
623,0,0,-2,-2,-2,-2
624,1,-2,-2,-2,-1,-1
625,-1,-1,-2,-2,-2,-2
626,0,0,0,0,2,0
627,0,0,0,0,0,0
628,-1,-1,-1,-1,-1,-1
629,0,0,0,0,0,0
630,-1,-1,-1,-1,-1,-1
631,-1,-1,-2,-2,-2,-2
632,0,0,0,0,0,2
633,0,0,0,0,0,-2
634,-2,-2,-2,-2,-2,-2
635,0,0,0,0,0,0
636,-1,-1,-1,-1,-1,-2
637,0,0,0,0,0,0
638,0,0,0,0,0,0
639,-1,-1,-1,-1,-1,0
640,0,0,0,0,0,0
641,0,0,0,0,0,0
642,0,0,0,0,-2,-2
643,0,0,0,0,0,0
644,0,0,0,0,0,0
645,0,0,2,0,0,0
646,1,-1,-1,-2,-2,-2
647,2,0,0,-2,-2,-2
648,0,0,0,0,0,0
649,2,2,2,2,2,2
650,8,7,6,5,4,3
651,-2,-2,-2,-2,-2,-2
652,0,0,-1,-1,-1,-1
653,0,0,0,0,0,0
654,1,-2,-2,-1,-1,-2
655,0,0,0,0,0,0
656,-2,-2,-2,-2,-2,-2
657,0,0,0,0,-1,-1
658,0,0,0,0,0,0
659,0,0,0,0,0,-1
660,-1,2,-1,-1,0,-1
661,-2,-2,-2,-2,-2,-2
662,0,0,0,-1,-1,-1
663,-1,-1,-1,-2,-2,-1
664,0,0,0,0,0,-1
665,0,0,0,2,2,2
666,0,0,0,0,0,0
667,0,0,0,0,0,2
668,0,0,0,0,0,0
669,1,2,2,2,2,2
670,2,2,2,0,0,0
671,2,-1,2,2,2,2
672,0,0,0,0,0,0
673,2,0,0,0,0,0
674,2,2,7,7,7,6
675,0,0,0,0,0,0
676,2,2,2,2,2,2
677,2,2,2,2,2,2
678,0,0,0,0,0,0
679,-1,-1,-1,-1,0,-1
680,-1,0,0,-2,-2,-2
681,0,0,0,0,0,0
682,-2,-2,-2,-2,-2,-2
683,0,0,0,0,-2,-2
684,0,0,0,0,0,0
685,0,0,0,0,0,0
686,-1,-1,-1,0,-1,-1
687,-1,-1,-1,0,0,0
688,0,0,0,0,0,0
689,0,0,0,0,0,0
690,0,0,0,0,0,0
691,0,0,0,-1,-1,-1
692,-1,2,2,-2,-2,-2
693,2,0,0,0,0,0
694,0,0,2,0,0,2
695,-2,-2,-2,-2,-2,-2
696,-2,-2,-2,-2,-2,-2
697,0,0,0,-1,0,0
698,-1,2,2,-2,-2,-2
699,-2,-2,-2,-2,-1,0
700,0,0,0,0,2,-1
701,-2,-2,-2,-2,-1,-1
702,-1,-1,-1,-1,-1,-1
703,0,0,0,0,-2,-2
704,1,3,2,0,0,0
705,1,2,4,3,2,2
706,-1,0,0,0,0,0
707,1,2,0,0,0,0
708,1,2,2,2,2,2
709,0,0,-1,2,0,0
710,0,0,0,0,0,0
711,0,0,0,0,0,0
712,0,0,0,0,0,0
713,1,2,-1,0,-1,-1
714,1,-1,-1,-2,-2,-1
715,-2,-2,-2,-2,-2,-2
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,0,0,0,0,0,0
719,1,-2,-2,-2,-2,-2
720,0,0,0,0,0,0
721,0,0,2,0,0,0
722,0,0,0,0,0,0
723,1,-1,-1,-1,-1,-1
724,-1,-1,-1,-1,-1,-1
725,0,0,0,2,2,2
726,0,0,0,2,0,0
727,-1,-1,-1,0,-1,-1
728,-2,-2,-2,-2,-2,-2
729,0,0,0,0,-1,-1
730,-1,2,-1,-1,2,2
731,0,0,0,0,0,0
732,0,0,0,0,0,0
733,1,2,-1,-1,-2,-2
734,-1,-1,-1,-1,-1,-1
735,0,0,0,0,0,0
736,-2,-2,-1,0,0,0
737,0,0,0,0,0,0
738,0,0,0,0,0,0
739,0,0,0,0,0,0
740,2,0,0,2,0,0
741,0,0,0,0,0,0
742,-1,-1,-1,-1,-2,-2
743,0,0,0,0,0,0
744,0,0,0,2,0,0
745,-2,-2,-2,-2,-2,-2
746,0,0,0,0,0,0
747,0,0,0,0,0,0
748,0,0,0,0,0,0
749,2,-1,-1,-1,-1,-1
750,8,7,6,5,4,3
751,1,-2,-1,0,0,0
752,2,0,0,0,0,-1
753,0,0,0,0,0,0
754,-1,0,0,0,0,0
755,-1,0,0,-1,-1,-1
756,0,0,0,0,0,0
757,0,0,-1,-1,0,0
758,2,0,-1,-1,-1,-1
759,0,0,0,0,-1,-1
760,0,0,0,0,0,0
761,1,2,0,0,0,2
762,-1,-1,-2,-1,-1,-2
763,-1,-1,-1,-1,-1,0
764,-1,2,-1,-1,-1,-2
765,0,0,0,0,0,0
766,-1,0,0,0,0,-1
767,0,0,0,0,0,0
768,-1,-1,-1,0,0,0
769,-1,-1,-2,-2,-2,-2
770,-2,-2,-2,-2,-2,-2
771,-1,-1,-1,-1,-1,-1
772,-1,-1,-1,-1,-1,-1
773,0,0,0,0,0,0
774,0,0,0,0,0,0
775,-1,2,-1,-1,-1,-2
776,1,2,0,0,0,0
777,-2,-2,-2,-2,-1,-1
778,-1,-1,-1,-1,-2,-1
779,2,0,0,-1,0,-1
780,1,-2,-1,-1,-1,2
781,0,0,2,2,2,0
782,-1,-1,2,-1,-1,-1
783,2,2,2,2,2,2
784,1,-2,-1,-1,-2,-2
785,0,0,0,0,2,0
786,1,-2,-2,-2,-2,-2
787,-1,-1,-1,-1,-1,-1
788,-1,-1,-1,-1,0,0
789,0,0,0,0,0,0
790,-1,0,0,0,-2,-2
791,1,2,2,0,0,0
792,1,-1,-1,-1,-2,-1
793,-1,-1,-1,-2,-2,-2
794,1,-2,-2,-2,-2,-2
795,0,0,0,0,0,0
796,0,0,0,0,0,0
797,-2,-2,-2,-2,-2,-2
798,0,0,0,-1,-1,-2
799,2,2,2,2,2,0
800,0,0,0,0,0,0
801,-1,-1,-1,-1,-2,-1
802,4,3,2,0,0,0
803,-1,-1,-1,-1,0,0
804,-1,-1,-1,-2,-2,-2
805,0,0,0,-2,-2,-2
806,0,0,0,0,-2,-1
807,1,-1,2,-1,-1,-1
808,0,0,2,2,2,2
809,0,0,0,0,0,2
810,0,0,0,0,0,0
811,0,0,2,0,0,0
812,0,0,0,0,-2,-1
813,1,-2,-2,-2,-1,-1
814,-1,0,0,0,0,-1
815,1,2,2,2,2,2
816,0,0,2,0,0,0
817,2,2,0,0,0,0
818,-1,-1,-1,-1,-1,2
819,-1,-1,-1,-1,-1,-1
820,0,-1,0,0,0,0
821,-1,-1,-1,-1,0,-1
822,1,2,0,0,0,0
823,-1,0,0,2,0,0
824,0,0,0,0,0,0
825,0,0,0,0,0,0
826,1,-1,-1,-1,-2,-2
827,1,2,0,0,0,2
828,0,0,0,0,2,2
829,-1,-1,-1,-1,-2,-1
830,0,-1,-1,0,0,0
831,-1,0,0,-1,0,0
832,8,7,6,5,4,3
833,0,0,0,0,-1,0
834,-1,-1,-1,0,0,0
835,0,0,0,0,0,-2
836,-1,-1,-1,-1,-1,-1
837,2,2,2,2,2,2
838,0,0,0,0,0,0
839,0,0,0,0,0,0
840,1,-2,-2,-2,-2,-2
841,1,2,0,0,0,0
842,0,0,0,0,0,0
843,-2,-2,-2,-2,-2,-2
844,1,-2,-2,-2,-2,-1
845,0,0,0,0,0,0
846,-1,-1,-1,-1,-1,0
847,-2,-2,-2,-2,-2,-2
848,2,0,0,2,0,0
849,4,4,4,3,2,0
850,-1,2,-1,0,0,0
851,0,0,0,2,2,6
852,1,2,2,0,0,0
853,0,0,-2,-2,-2,-2
854,0,0,0,0,0,0
855,0,0,0,0,0,0
856,-2,-2,-2,-2,-2,-2
857,0,0,2,2,2,2
858,2,2,2,2,2,2
859,0,0,0,0,0,0
860,0,0,0,0,0,0
861,-2,-2,-2,-2,-2,-2
862,-2,-2,-1,0,0,0
863,2,2,7,7,7,7
864,0,0,0,0,0,0
865,0,0,0,0,0,0
866,0,0,0,0,0,0
867,0,0,0,-2,-2,-2
