ID,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
106,2861,3279,3319,1150,1150,1035,0
107,2272,722,867,1150,5263,5011,0
108,10908,0,133657,4566,133841,4796,0
109,0,0,0,0,0,0,0
110,9260,0,3593,4100,15794,0,0
111,2000,1000,1000,1000,1000,1000,0
112,6500,0,14254,14850,0,5000,0
113,2000,2677,3076,5080,3000,2033,0
114,1340,1305,700,718,724,684,0
115,0,1312,3000,0,1000,1000,1
116,326,326,5676,476,326,526,0
117,2000,1700,1000,1000,1000,1000,1
118,9677,11867,7839,14837,7959,5712,0
119,2000,3000,3000,1307,1203,563,0
120,1000,4035,1000,1400,2800,0,1
121,0,0,0,0,0,0,1
122,0,0,0,0,0,0,0
123,13019,11128,8407,8599,6833,5987,1
124,1404,1130,600,861,313,0,0
125,0,0,0,0,0,0,0
126,3568,3585,3602,3848,3669,3784,0
127,4655,2690,2067,2142,2217,1000,1
128,1000,1066,1300,1500,1200,134,1
129,2504,7,1200,1200,1100,1500,0
130,5645,3508,27,13771,5911,3024,0
131,2622,3301,0,360,1737,924,0
132,9744,9553,7603,7830,7253,11326,0
133,8210,8095,8025,8175,8391,8200,0
134,2000,1400,0,500,0,1560,0
135,1500,1800,0,1000,0,327,0
136,2500,3000,3000,3000,3500,5000,0
137,1500,1500,1000,500,2000,546,0
138,300,5880,0,0,0,0,1
139,2360,1700,1000,900,870,2130,0
140,0,0,0,0,0,0,1
141,0,416,332,500,3500,832,0
142,1000,10000,400,700,800,600,0
143,10000,10000,10000,9983,15863,10000,0
144,15586,344,2340,4702,339,330,0
145,1000,1500,2000,1583,1100,0,0
146,1661,1200,351,358,182,0,1
147,8000,5000,55500,5000,5000,8500,0
148,1650,0,0,379,2091,1,0
149,0,22500,0,969,1000,0,0
150,3455,3110,5000,0,2100,2602,0
151,30000,3000,6000,8000,2000,14000,0
152,2906,1000,630,0,0,0,0
153,8042,6700,5137,100000,7000,6321,0
154,1700,1500,1000,1500,1500,1500,0
155,5000,5000,11885,5000,3000,5504,0
156,4000,3250,3250,3500,3560,5000,0
157,7300,7108,7680,6200,5000,4500,0
158,10478,10478,11078,11078,11678,10478,1
159,0,1600,500,500,600,600,0
160,3500,0,2200,0,1200,1250,0
161,390,780,216,864,0,390,0
162,396,396,792,0,423,369,0
163,17994,0,5469,5656,6811,3920,0
164,3000,1500,1500,1000,1500,1500,0
165,5500,3900,3000,2900,3000,2800,0
166,15383,8204,15413,4792,13453,4699,0
167,3166,0,1330,1398,12,50000,0
168,3500,3500,3652,10000,4000,0,0
169,1510,1442,982,1017,1277,567,0
170,5000,2000,3000,4000,3000,2000,0
171,3288,0,4340,2672,800,746,0
172,15000,1000,149,0,5000,10000,0
173,0,0,0,0,0,0,1
174,0,77,0,0,0,0,0
175,3000,3000,3000,5500,0,0,1
176,504,500,1000,500,3500,0,0
177,0,1500,1000,2000,0,2000,0
178,1212,1201,500,1500,1500,1000,0
179,5800,1000,600,400,1000,0,0
180,15000,0,2000,0,1256,65935,0
181,12500,6500,3000,2000,3000,2000,0
182,70010,30357,30000,20000,52183,20000,0
183,2500,1600,3000,1000,737,2000,1
184,1200,1593,601,135,1824,0,0
185,0,1600,1500,0,1000,1500,1
186,57087,5295,68454,13889,16250,38313,0
187,8214,7000,6800,7134,0,6836,1
188,5396,5000,3500,501,1000,2000,0
189,0,1000,0,0,760,0,0
190,10020,6031,10057,5028,5060,4223,0
191,1342,1664,2000,0,900,846,1
192,199,0,0,17227,341,5114,0
193,37867,0,200,0,0,0,0
194,2000,1000,2000,500,1000,20011,0
195,1900,1400,1700,1532,1600,0,1
196,0,0,116,0,1500,0,0
197,1500,1032,541,20000,693,1000,0
198,138,2299,1251,1206,1151,15816,0
199,1000,85,1714,104,0,0,1
200,0,0,0,0,0,0,0
201,25000,0,3000,7800,0,2500,0
202,10000,13001,5841,13506,487,7004,0
203,5000,5000,4152,5000,5000,5000,0
204,9100,7300,5800,5600,5600,4100,0
205,22359,1305,1258,1459,3457,1700,0
206,1473,390,390,390,0,2380,0
207,1586,343,3763,877,0,419,1
208,3200,3000,2038,2000,1800,1800,1
209,4345,2854,1702,0,1709,258,0
210,5000,5050,8303,0,85632,0,0
211,0,250,0,789,1222,9616,1
212,1700,1504,1200,1500,1500,1000,0
213,3036,2309,0,1000,2000,148,0
214,13000,11001,0,10484,10838,10367,0
215,390,390,240,1470,0,0,0
216,0,0,0,0,0,0,1
217,3100,3500,3400,3000,3500,3000,0
218,4000,5000,3000,3000,3000,8954,0
219,4542,126,0,0,0,0,0
220,12000,0,5900,5000,4500,4700,1
221,12388,12378,12116,12450,12213,11678,0
222,12019,9006,17000,12000,9557,15000,0
223,10042,18832,2117,2076,5045,3754,0
224,0,24,1500,1000,1201,30592,1
225,6530,4860,22500,4820,4877,4962,0
226,2686,1864,569,0,0,0,0
227,1609,3000,663,676,834,782,0
228,2401,2254,2004,704,707,1004,1
229,0,1333,500,100,0,3200,0
230,2090,2002,1002,238,1011,389,0
231,0,1200,1000,0,1000,10000,1
232,0,0,2624,45567,1747,2000,0
233,5000,5000,10000,0,12118,2769,1
234,1506,1298,1000,721,811,599,0
235,3983,6853,1719,1378,19942,2418,0
236,4500,1745,1566,1208,1077,2529,0
237,0,7422,893,6082,2293,3299,0
238,10116,9150,8008,8000,8009,7714,1
239,3000,2000,2198,1000,3000,2399,1
240,0,0,0,0,2285,0,0
241,1800,2000,3000,2000,2000,2000,0
242,1800,1750,900,1200,1200,1100,0
243,2821,0,0,2821,0,176,0
244,355,120,0,0,60,60,0
245,1601,2203,2114,0,0,0,0
246,1631,1536,1010,5572,794,1184,0
247,1788,1799,1100,1150,2423,0,0
248,2504,4007,5056,74,1023,2566,0
249,1561,1268,587,611,1000,2000,0
250,1710,136,1206,2002,2005,3003,0
251,5006,1244,851,955,0,0,0
252,5366,5087,3605,3894,3785,3304,1
253,7042,2000,1000,99669,12600,10000,0
254,3127,1469,4968,1905,2494,862,0
255,1565,1393,980,994,1024,886,0
256,1233,1075,1355,1130,21361,1347,0
257,2453,9880,52572,1546,2210,0,0
258,0,0,0,0,0,0,0
259,10000,9020,6000,5500,6000,5500,1
260,40010,20094,5000,5001,25365,65000,0
261,1602,1400,3000,3130,1062,6318,0
262,4664,5969,18941,0,12652,1916,0
263,51315,0,0,299,338,0,0
264,258,5995,188,1644,16872,4000,0
265,0,0,316,316,316,316,0
266,1134,1298,478,847,0,175,0
267,4100,3095,1630,561,600,0,1
268,1600,1600,1500,1500,1500,1500,0
269,1700,0,426,501,2614,1390,1
270,2035,2004,616,2007,1009,2015,0
271,0,1350,0,0,0,450,0
272,0,0,0,0,0,0,1
273,2000,1322,2000,2000,1200,3000,0
274,0,0,0,0,0,0,1
275,4483,12496,3268,3000,3000,2000,0
276,2728,0,2654,0,22545,0,1
277,316,316,316,316,316,316,0
278,2007,2199,691,707,703,697,0
279,4000,4500,5000,4000,5000,4400,0
280,1000,664,1500,0,0,0,0
281,10063,5162,10150,44299,43509,31031,0
282,7722,6091,3563,3605,3000,3211,0
283,4173,3000,2025,5000,3000,3000,0
284,5000,5000,5000,5000,4000,5000,0
285,41986,21874,20076,16171,586,19777,0
286,3276,2026,2000,2000,2000,2502,0
287,8610,6907,3727,3800,4001,2701,0
288,3472,2092,2000,2127,1960,1559,1
289,1295,1000,1000,1000,1000,1000,0
290,898,325,898,325,0,345293,1
291,0,0,0,0,0,0,1
292,1100,0,300,0,600,0,0
293,3507,0,500,370,393,700,1
294,0,0,0,0,0,1500,0
295,9000,7465,4715,4804,5141,5300,0
296,657,2319,1423,0,1820,2496,0
297,6483,5082,6000,5900,4544,4700,0
298,2755,3463,1300,1100,1100,2000,0
299,0,13001,0,19595,203,0,1
300,3490,2332,2314,2365,2497,2305,0
301,0,0,0,0,162000,0,0
302,2400,1206,1000,1000,1000,1000,0
303,2800,0,4000,1700,1000,2000,1
304,665,960,3908,1014,3500,2880,0
305,3220,5904,0,3000,0,0,0
306,23962,0,8500,4590,0,0,0
307,5215,0,0,0,0,0,0
308,1200,1200,2000,1500,1500,1500,1
309,13809,14583,4889,273,13557,0,0
310,1000,1354,5322,6,2386,9085,0
311,7000,5000,5000,4900,5000,5100,0
312,3000,3100,0,3000,1500,0,0
313,0,6000,0,5000,2286,3000,1
314,1631,1286,200,645,909,200,0
315,1970,2000,618,809,2000,616,1
316,2200,2500,2000,2100,2500,2200,0
317,165,526,452,397,485,459,0
318,3754,1,1070,1030,863,654,0
319,0,0,0,0,0,0,0
320,2500,0,2000,2000,1854,2000,1
321,21105,5461,5000,5849,2732,50000,0
322,1070,1500,3666,2477,1306,1000,0
323,1710,1100,1000,767,6173,1000,1
324,10000,7000,10000,10000,10000,10000,0
325,0,38013,3000,5000,3000,3000,0
326,325,0,950,0,325,325,1
327,3800,0,3720,0,1300,1291,1
328,44665,8321,2190,24599,7416,77195,0
329,5200,0,8100,4000,4200,4200,0
330,1000,0,6900,24000,17000,2500,1
331,3000,0,500,500,2700,500,1
332,0,1483,673,10000,11540,7000,0
333,0,0,0,1600,78388,0,0
334,1323,1600,830,700,674,376,0
335,5795,7408,5645,5753,6370,5865,0
336,10000,8000,6000,7000,7000,6000,0
337,0,0,0,0,0,0,0
338,1974,4406,1061,1073,1046,1047,1
339,6900,5037,1100,1330,3800,2037,0
340,92,92,0,92,0,1883,0
341,1212,1200,0,978,0,0,0
342,0,4872,20183,5000,0,1000,0
343,11000,145000,26000,0,101005,1898,0
344,5440,5051,3835,4106,4250,4028,0
345,0,0,5000,5000,1500,13000,0
346,4210,4159,1000,1080,2000,1525,0
347,3000,2000,2000,2000,2000,2000,1
348,6600,6500,5100,5300,6000,5000,0
349,1411,1522,621,795,715,1000,1
350,1541,4200,0,0,23101,3000,0
351,10118,47015,0,4000,100000,10000,0
352,0,0,0,0,0,0,1
353,3177,2600,3000,1691,695,882,0
354,3400,0,1000,1001,634,638,0
355,1481,2000,1100,1200,1500,1500,1
356,6349,5834,3870,4000,3825,3520,0
357,9010,35000,5000,6000,5000,4400,0
358,3000,2900,2900,3000,3500,4000,0
359,291,51058,35696,34039,291,291,0
360,10000,0,14000,16500,16000,19000,1
361,2589,2568,2570,2661,2781,2500,0
362,0,0,1262,1358,1275,1590,0
363,0,2066,0,216,216,66,1
364,300,399,665,576,613,520,0
365,1529,1507,0,3965,8676,384,0
366,3000,2237,975,1000,2000,1039,0
367,0,1500,0,0,150,0,0
368,0,0,0,0,0,0,0
369,0,1168,384,390,632,616,1
370,0,0,0,0,0,0,1
371,2977,15086,9123,13028,29712,50000,0
372,1640,9000,0,8000,0,2000,0
373,2500,2000,1500,4000,2000,0,0
374,8100,5299,3305,5040,160719,7000,0
375,1640,1700,915,800,1000,1961,0
376,0,1342,946,4200,0,1000,0
377,14000,3855,4991,3600,5500,4000,0
378,3500,3000,2000,4000,3000,10000,0
379,2000,3000,327,3000,3000,5000,1
380,4200,2575,2600,2674,2701,5750,0
381,1500,400,200,500,500,400,1
382,3000,30000,4000,4000,3400,3300,0
383,1105,1903,0,296,500,95,1
384,10010,1209,579,0,0,6305,0
385,15000,14000,9000,8500,9000,8300,0
386,80000,0,0,0,0,0,0
387,3500,4330,3500,3500,3500,5100,1
388,7900,6500,5700,5700,5700,5334,0
389,291,582,0,0,130291,651,1
390,0,0,0,0,0,0,0
391,38621,2000,1130,922,1011,5000,1
392,4400,4013,3011,3000,3001,2653,0
393,3000,3000,3000,3500,2000,2000,0
394,25000,0,0,0,0,0,0
395,10000,10000,6000,6000,6000,5600,0
396,2502,1200,860,0,579,0,0
397,0,0,848,0,632,0,0
398,4002,5000,3500,3000,2700,5000,0
399,4007,0,8272,5000,0,4400,0
400,5233,3289,2072,3018,184922,6100,0
401,1488,1394,962,1500,2541,2000,0
402,2091,384,0,2344,0,472,1
403,1774,1710,1046,1079,1089,2244,0
404,7500,0,11558,5800,0,5654,1
405,2690,3487,0,0,85900,396,0
406,6000,0,0,0,0,0,0
407,325,15296,12137,12312,14113,10526,0
408,11404,8232,10450,9697,16477,11341,0
409,10000,8000,6371,6217,5947,6288,0
410,0,2709,1600,1400,1300,1200,1
411,0,0,367,150,0,0,0
412,0,2809,4606,792,3404,0,0
413,0,1064,423,313,1000,4641,1
414,26734,199982,9033,19371,22593,2000,0
415,5000,0,0,0,0,640,0
416,17507,1102,0,0,160,1103,0
417,2000,1600,1200,2000,0,1000,0
418,3629,3332,2000,2000,2000,2500,0
419,0,0,0,0,0,0,1
420,1500,1800,1007,2500,0,1800,0
421,8071,9021,7013,6013,6028,6010,0
422,2795,1350,371,2980,0,2213,0
423,4500,0,3500,3500,9000,0,1
424,10000,7143,7306,6303,6429,6000,0
425,0,0,0,0,0,0,0
426,3000,1500,0,3123,1500,1000,1
427,199,199,398,0,199,398,1
428,3600,1646,600,28468,1327,1000,0
429,6000,4500,5000,3000,3000,3000,0
430,3200,3300,3000,3001,3000,3100,0
431,13007,10612,10041,11000,10512,7000,1
432,2500,2500,2000,2000,2057,2500,0
433,6422,6565,5951,6006,5894,5946,0
434,6015,17454,1775,0,0,0,0
435,10000,8000,0,16000,8000,0,1
436,0,0,300,0,150,200,0
437,2300,2200,2300,2200,2300,2300,0
438,2500,3008,1000,761,800,704,0
439,3212,1600,956,40000,1800,1700,1
440,350,400,1695,11300,485,2400,0
441,4000,4037,6500,3500,0,3200,0
442,0,945,0,197,2995,0,0
443,5704,5930,4000,4003,10033,4400,0
444,12026,9010,7400,8000,8000,7000,1
445,1600,1500,1100,1000,600,500,0
446,4500,4400,3000,2400,2500,2500,0
447,1260,29366,54,0,1599,0,0
448,5000,1485,1956,1500,0,2102,0
449,4505,12906,0,2210,2300,5200,0
450,0,0,0,0,0,0,1
451,0,18000,16000,16000,21000,20000,1
452,14000,5022,130000,7000,6000,6000,0
453,179,1443,1443,1443,871,2015,0
454,2500,51432,1800,1800,1800,1700,0
455,2027,1207,301,212,5315,4987,0
456,0,6000,0,6000,0,6000,0
457,1800,1900,1300,0,0,0,0
458,18163,5654,12887,6985,9130,6554,0
459,2100,1217,500,0,6400,4590,1
460,5657,10372,5000,5000,5000,5000,0
461,8638,5723,2980,1260,7868,2198,0
462,80000,3000,3015,23473,1148,4900,0
463,120093,8034,3013,4010,5882,3000,0
464,0,1991,0,0,150,614,0
465,7536,7277,7100,7120,6844,6945,1
466,8909,7500,9000,6729,6000,7009,1
467,1610,1224,655,627,620,500,0
468,10026,7241,50091,25000,5078,2132,0
469,3276,6246,307,2870,670,1362,0
470,13802,16525,8893,9229,10000,9435,1
471,14020,13595,6243,6007,6061,6012,0
472,2790,1140,2144,1180,1382,2440,0
473,1800,1500,2000,2700,1500,0,0
474,2682,0,6440,0,5930,5120,0
475,1900,1400,1000,1100,1000,420,0
476,1800,1500,1200,1203,1166,1000,0
477,2518,5950,0,1782,1985,2700,0
478,0,501,300,600,300,600,0
479,0,0,0,0,0,0,0
480,120041,4435,0,1069,0,67619,0
481,17000,0,11400,550,5300,5400,1
482,2112,1200,758,6736,0,0,0
483,1700,4000,1600,1600,1500,4086,0
484,1709,574,556,2306,2562,2111,0
485,7600,6303,4137,3502,4027,3517,0
486,15111,13165,0,10500,6992,0,0
487,3317,3506,4218,5000,6080,938,0
488,1648,792,0,396,396,792,1
489,6277,4663,4140,4414,2646,7725,0
490,157,0,0,0,0,0,0
491,1300,2,1608,0,900,800,0
492,4000,11900,207,2003,2003,2003,0
493,4000,308,0,0,0,0,0
494,1203,1047,248,408,294,276,1
495,1000,390,1000,220,640,1000,0
496,7521,7000,7000,7128,8000,7100,0
497,7403,0,820,1025,1113,104,0
498,0,0,120,6,1645,0,0
499,1623,3916,750,0,800,850,0
500,2000,1500,2000,1500,0,1200,0
501,0,6000,0,4500,0,2000,0
502,10000,9000,8000,8000,7500,7000,0
503,2000,3000,0,0,0,0,1
504,0,0,0,0,0,0,0
505,396,396,0,793,1220,0,0
506,0,285138,4989,100,200,528666,0
507,2500,2000,1128,2500,0,2000,0
508,1700,1400,200,1000,0,500,0
509,0,0,10446,0,0,0,0
510,1261,1261,1411,930,0,780,0
511,240,240,240,240,240,240,1
512,53228,3997,1750,2853,51041,3219,0
513,2000,1500,1300,1300,1200,1500,1
514,2900,10,577,430,1017,4,0
515,2385,88678,2169,2634,3132,732,0
516,3060,3300,2610,2750,2750,5500,0
517,3000,5000,2000,618,679,500,0
518,0,2126,390,328,476,1287,0
519,6000,7000,5000,7000,7000,7000,0
520,1597,1606,819,1000,1000,1623,0
521,33049,16000,8700,18775,15000,5350,0
522,390,75720,62520,17000,132200,167000,1
523,6022,3021,5012,5112,3000,5000,1
524,3200,3200,2600,2900,2700,3000,0
525,13250,433,1831,0,2891,153504,0
526,0,1594,1000,1606,0,300,0
527,0,6200,6000,6000,6500,6000,1
528,0,0,0,1685,2613,0,0
529,14410,0,28,22073,0,0,0
530,2836,1200,13000,1500,9000,1000,0
531,2454,1588,780,803,673,637,0
532,2400,0,871,0,244,251,1
533,2050,7500,2500,0,2500,2500,1
534,3068,2440,1807,2204,0,0,0
535,1675,2500,578,4825,2000,2435,0
536,13100,11000,10000,9000,7100,5500,0
537,5417,2847,2066,1919,2200,0,0
538,1000,0,0,318,0,0,0
539,600,7300,3700,3700,4000,3800,0
540,0,0,0,218,270,317,0
541,0,0,0,0,318,0,0
542,0,1000,0,1100,1100,1500,1
543,1553,5000,87,14761,29514,330,0
544,10000,13912,9785,0,2142,4230,0
545,5000,3000,3000,2000,5000,5000,0
546,0,0,0,0,0,0,1
547,0,0,0,0,0,0,0
548,7357,2566,3000,1000,10000,2000,0
549,5024,5000,5000,4000,5000,3500,0
550,1500,1000,1000,0,2000,2000,1
551,0,16500,0,26854,500,0,1
552,2500,1500,1100,2000,1500,1017,1
553,6370,0,0,0,0,0,0
554,2000,1600,1401,1607,1800,1751,0
555,38187,1207,2632,8654,0,4981,0
556,5401,1829,350,150,199,1145,0
557,11000,5800,3200,3200,3100,3000,0
558,2055,0,0,0,0,0,0
559,2800,2753,2400,2255,4767,0,0
560,12006,5736,6621,2457,14923,1712,0
561,2231,0,1005,948,0,789,0
562,2790,1758,416,416,3640,730,0
563,8005,8004,5000,5000,5000,105700,0
564,1,1693,6940,7,1230,3,0
565,8514,1751,6739,2403,11137,13407,0
566,1600,1500,3000,5000,1020,764,1
567,1510,3575,10573,10155,6240,16071,0
568,1537,1947,800,1000,718,683,0
569,1000,0,0,0,0,0,0
570,8394,4927,5089,19561,0,125,0
571,2040,2766,1690,1000,1000,1000,0
572,10530,0,0,0,4554,0,0
573,5156,1089,0,3177,1009,0,1
574,4641,2290,1459,6764,7601,7990,0
575,13000,10200,10265,8803,8300,8546,1
576,475,5691,34000,14000,8000,15000,0
577,13647,8314,4082,0,4085,0,0
578,1300,1100,1000,500,500,1000,0
579,2687,8765,3390,2040,0,0,0
580,780,0,0,0,0,0,1
581,15155,5485,5263,8598,5449,6537,0
582,3757,30348,1044,21636,9556,6066,0
583,4000,2374,2007,2500,3000,2000,0
584,2200,1600,1700,1700,0,0,0
585,1600,1300,600,1600,0,800,0
586,0,0,0,0,0,0,1
587,23776,0,9631,1561,1990,7967,1
588,6700,6000,1291,1319,1336,1365,0
589,23194,50000,11500,17024,18659,38923,0
590,5000,5000,65840,2000,2000,10000,0
591,4000,3924,3200,3300,3425,3013,0
592,1127,1074,215,249,4383,172,0
593,2145,1844,2009,5017,2000,5002,0
594,2681,2724,2287,2362,2374,2454,0
595,5090,5014,5009,4844,5002,4902,0
596,9429,8738,7017,7154,7073,7300,0
597,0,0,0,0,0,0,0
598,3249,3000,5000,2500,2300,2200,0
599,10000,0,0,2768,65373,10780,1
600,1426,1379,867,898,933,807,0
601,390,390,390,390,1320,0,1
602,1323,1196,544,563,629,361,0
603,3007,0,924,2070,0,3000,0
604,0,0,0,0,0,1576,0
605,0,2700,0,2200,0,1030,0
606,1351,1500,150,0,0,0,0
607,2000,5000,5000,0,2000,3000,0
608,9120,8528,0,6368,3000,3238,0
609,390,390,561,390,390,390,0
610,1006,32906,18900,13580,33150,0,0
611,0,0,0,0,2650,0,1
612,2000,1684,1601,2000,2000,2000,0
613,0,1435,955,993,2734,0,0
614,6000,5000,0,9000,4000,5000,0
615,2100,1200,965,64,509,8399,0
616,0,0,0,595,0,2370,0
617,5000,5000,3953,4500,4000,3900,0
618,2018,1900,2000,1500,1900,2000,0
619,3315,3088,2572,2559,2526,2620,0
620,3000,3000,3000,2500,2000,2000,0
621,0,1000,500,460,610,460,0
622,0,0,0,0,0,0,0
623,0,0,0,166,543,4268,0
624,0,0,0,0,0,0,0
625,1237,1249,1265,0,568,1327,0
626,2600,1800,2000,3140,2000,1800,0
627,660,660,660,660,660,660,0
628,1465,2000,1033,1200,1055,530,0
629,7193,3855,3411,6788,9921,5016,0
630,0,0,0,0,0,0,0
631,2000,2000,2000,4000,0,2000,0
632,1155,1000,0,1304,0,0,0
633,0,0,0,0,0,0,0
634,4086,1428,1318,2171,3198,4976,0
635,228,0,228,0,0,0,0
636,1107,1000,1000,1500,2150,0,0
637,1362,1294,682,680,694,618,0
638,1981,4521,20500,77000,100000,7700,0
639,3000,3000,2000,3000,3000,3000,0
640,6900,6867,5500,5500,5500,5600,0
641,2500,1000,0,0,0,0,0
642,5000,5000,5000,4500,5000,5000,0
643,20000,13000,5000,10000,4000,6000,0
644,3200,0,742,1000,2000,0,0
645,5180,5000,0,0,5000,0,0
646,1027,0,0,0,0,0,1
647,3100,2586,2000,2500,3000,2500,0
648,0,15000,8000,7000,0,15000,1
649,0,0,0,0,0,0,0
650,0,1100,300,0,0,0,0
651,1000,7816,7500,7500,14497,500,0
652,1300,1301,900,900,900,1600,0
653,0,200,42000,0,0,0,1
654,2500,1145,1000,1000,1000,1500,0
655,3597,5672,5427,3885,3543,3519,1
656,2000,1300,0,2000,1000,0,0
657,2500,2000,3000,2000,2000,2000,1
658,4500,2011,3105,0,1460,0,0
659,0,1179,1714,1290,1047,1000,0
660,8106,12431,12145,13391,7957,1905,0
661,3114,0,787,1457,0,0,1
662,40000,0,0,0,510,0,0
663,1300,1000,120,200,390,1170,0
664,2000,4110,1100,1200,1400,0,0
665,5540,4403,3814,3562,4021,3681,0
666,3011,3095,2000,4600,0,2258,0
667,1500,1387,893,1000,1501,2000,0
668,8200,0,8000,0,8600,0,0
669,2000,500,0,500,500,0,1
670,33000,33000,5810,1325,0,3095,0
671,1541,1248,1000,1000,1000,1000,1
672,3600,3800,3000,3000,3023,3000,1
673,0,0,0,0,0,0,1
674,4520,5050,3590,3700,3750,3510,0
675,0,2900,0,2500,0,1300,1
676,15000,6600,6500,6500,7000,7000,1
677,52129,30000,6000,6000,7000,10000,0
678,1087,4355,7423,0,2508,4141,0
679,1283,7024,7024,7024,7024,7024,0
680,1532,2000,783,3000,2000,2000,0
681,0,1024,0,0,0,0,0
682,1250,1000,0,0,0,0,0
683,8000,6000,5000,5000,4000,5000,0
684,10000,10000,10000,19000,13000,8000,0
685,0,177671,3508,4876,4188,10007,0
686,0,732,300,1000,500,1000,1
687,7500,6000,10000,7000,16000,6200,0
688,4310,5913,4426,4580,4770,4767,0
689,1853,1700,1522,1548,1488,1500,0
690,20000,30000,54340,0,2129,0,0
691,0,0,0,0,0,0,0
692,6163,4530,4500,5000,5000,5000,1
693,5800,0,2250,4500,0,2500,0
694,500,431,14328,5439,2980,5028,0
695,0,0,0,0,0,0,0
696,1267,1553,7511,1000,343,1000,0
697,0,0,0,0,0,0,0
