ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
397,1,-2,-1,2,2,-2,
398,-1,-1,-1,-1,-1,-1,
399,0,0,0,0,0,-1,
400,-2,-2,-2,-2,-2,-2,
401,0,0,0,0,0,0,
402,-2,-2,-1,-1,-2,-2,
403,1,-1,-1,-2,-1,-1,
404,2,0,0,0,0,0,
405,0,0,0,0,0,0,
406,0,0,0,0,0,0,
407,-1,-1,-1,-1,-1,-1,
408,-2,-2,-2,-2,-2,-2,
409,2,0,0,0,-2,-2,
410,0,0,0,2,0,0,
411,0,0,0,0,0,0,
412,0,0,0,0,0,0,
413,-1,-1,-1,-1,0,0,
414,0,0,0,0,0,0,
415,2,2,2,2,2,3,
416,-1,-1,-2,-2,-2,-2,
417,-1,-1,-1,-1,-1,-2,
418,-1,0,0,0,0,0,
419,-1,-1,-1,-1,-1,-1,
420,0,0,0,0,0,0,
421,-2,-2,-2,-2,-2,-2,
422,-2,-2,-2,-2,-2,-2,
423,1,2,0,0,0,0,
424,0,0,0,-1,0,0,
425,0,0,0,0,0,0,
426,0,0,2,0,0,0,
427,0,0,0,0,0,0,
428,-1,3,2,2,2,0,
429,-2,-2,-2,-2,-2,-2,
430,0,0,0,0,0,0,
431,0,0,0,0,0,0,
432,-1,-1,-2,-2,-2,-2,
433,2,2,2,2,2,2,
434,-1,0,0,0,0,0,
435,0,0,0,0,0,-1,
436,2,0,0,0,0,0,
437,-1,-1,-1,-1,0,-1,
438,-2,-2,-2,-2,-2,-2,
439,-1,3,2,-1,-1,-1,
440,0,0,0,0,0,-2,
441,0,0,0,0,0,-1,
442,0,0,0,0,0,0,
443,2,0,0,0,0,0,
444,0,0,0,0,0,0,
445,-1,-1,-1,-1,-1,-1,
446,1,-1,-1,-1,0,-1,
447,-2,-1,-1,0,0,0,
448,0,0,0,0,0,0,
449,0,0,0,0,0,0,
450,-2,-2,-2,-2,-2,-2,
451,0,0,0,0,0,0,
452,0,0,0,0,0,0,
453,-1,-1,-1,-1,-1,-1,
454,-2,-2,-2,-2,-2,-2,
455,0,0,0,0,0,0,
456,0,0,0,0,0,0,
457,-1,-1,-1,-1,-1,-1,
458,0,-1,-1,-1,-1,-2,
459,0,0,0,0,0,0,
460,0,0,0,0,0,0,
461,2,2,-2,-2,-2,-2,
462,-1,0,0,0,0,0,
463,1,2,0,0,0,0,
464,0,0,0,0,0,0,
465,-1,-1,-1,-1,-1,-1,
466,1,-2,-2,-2,-2,-2,
467,0,0,0,0,0,0,
468,0,0,0,0,0,0,
469,0,0,-2,-2,-2,-2,
470,0,0,0,0,0,0,
471,0,0,0,0,0,-1,
472,0,0,0,0,0,0,
473,0,0,0,0,0,0,
474,0,0,0,0,0,0,
475,1,-1,-1,-1,0,-1,
476,-1,-1,-2,-2,-2,-2,
477,0,0,0,0,0,0,
478,0,0,0,0,0,0,
479,-1,-1,-1,-1,-1,-1,
480,-1,-1,-1,-1,-1,-1,
481,0,0,0,-1,-1,-1,
482,0,0,0,0,0,0,
483,0,0,-2,-2,-2,-2,
484,0,0,0,0,0,0,
485,0,0,0,0,0,0,
486,0,0,0,0,0,0,
487,0,0,0,2,0,0,
488,2,0,0,0,0,0,
489,1,2,2,2,2,2,
490,0,0,0,0,0,0,
491,2,2,2,2,2,2,
492,0,0,0,0,0,0,
493,-1,-1,-1,-1,-1,-1,
494,-1,-1,-2,-1,-1,-1,
495,0,0,0,0,0,0,
496,0,0,0,0,0,0,
497,0,0,0,0,0,0,
498,-1,-1,-2,-1,-1,-1,
499,0,0,0,0,0,0,
500,0,0,-2,-1,-1,-2,
501,-1,-1,-1,-2,-2,-2,
502,0,0,0,0,-1,0,
503,-2,-1,-1,-1,0,0,
504,0,0,0,0,0,0,
505,1,-1,-1,0,0,-1,
506,-2,-2,-2,-2,-2,-2,
507,-2,-2,-2,-2,-2,-2,
508,0,0,0,0,2,0,
509,-2,-1,-1,-2,-2,-2,
510,0,0,0,0,0,0,
511,0,0,0,0,0,0,
512,0,0,2,0,0,0,
513,1,-2,-2,-2,-2,-2,
514,2,2,0,0,0,-1,
515,0,0,0,0,0,0,
516,0,0,0,0,0,0,
517,0,-1,-1,-2,-1,-1,
518,0,0,0,0,0,0,
519,0,0,0,-1,-1,-1,
520,0,0,0,0,0,-2,
521,1,-2,-2,-1,0,-1,
522,0,0,0,0,0,0,
523,1,-2,-2,-1,2,2,
524,-1,2,2,-1,-1,2,
525,0,0,0,0,0,0,
526,1,2,0,0,0,0,
527,0,0,0,0,0,0,
528,0,0,0,2,0,0,
529,-2,-2,-2,-2,-2,-2,
530,0,0,0,0,0,0,
531,-2,-2,-2,-2,-2,-2,
532,0,0,0,0,0,0,
533,-1,-1,0,0,2,2,
534,-1,-1,2,-1,-1,-1,
535,1,2,2,2,2,2,
536,0,0,0,0,0,0,
537,0,0,0,0,0,0,
538,0,0,-1,0,0,-2,
539,-1,-1,-1,-1,-1,-1,
540,0,0,0,0,0,0,
541,-2,-2,-2,-2,-2,-2,
542,-1,-1,-2,-2,-2,-2,
543,-1,0,-1,2,-1,0,
544,-1,-1,-1,-1,0,0,
545,0,0,0,0,0,0,
546,0,0,0,0,0,0,
547,1,-1,-1,-1,-1,2,
548,-1,-1,-1,-1,-1,-2,
549,3,2,0,0,0,0,
550,0,0,0,2,-1,0,
551,0,0,0,0,0,2,
552,2,0,0,0,0,0,
553,0,0,0,0,0,0,
554,-1,-1,-1,-1,-1,-1,
555,-2,-2,-2,-2,-2,-2,
556,0,0,0,0,0,0,
557,2,0,0,-1,0,0,
558,0,0,0,-1,-1,-1,
559,-1,-1,-1,-1,-1,-1,
560,-2,-2,-2,-2,-2,-2,
561,-1,-1,-1,-1,-1,-1,
562,0,0,0,2,0,0,
563,0,0,0,0,0,0,
564,2,0,0,0,0,0,
565,2,2,2,2,2,2,
566,0,0,2,-1,-1,0,
567,-1,-1,-2,-2,-2,-2,
568,0,-1,0,0,0,0,
569,0,0,0,0,0,0,
570,0,0,0,0,0,0,
571,1,-2,-2,-2,-2,-2,
572,-1,-1,-2,-2,-2,-2,
573,0,0,0,0,0,-1,
574,0,0,0,0,0,0,
575,-1,-1,-1,-1,-1,-1,
576,0,0,0,0,0,0,
577,-2,-2,-2,-2,-1,0,
578,0,0,0,0,0,0,
579,0,0,0,2,0,0,
580,0,0,0,0,0,0,
581,0,0,0,0,-1,0,
582,-1,-1,-1,-1,-1,2,
583,-1,2,-1,0,-1,2,
584,0,0,0,2,0,0,
585,1,2,0,0,0,0,
586,0,0,0,0,0,0,
587,0,0,0,0,-1,0,
588,2,0,0,0,0,0,
589,0,0,0,0,0,0,
590,0,0,0,0,0,0,
591,1,-1,-1,-1,-1,-1,
592,0,0,0,0,0,0,
593,0,0,0,0,0,-1,
594,0,0,0,0,0,0,
595,0,0,2,0,0,0,
596,0,-1,0,-1,0,0,
597,0,0,0,0,0,0,
598,0,0,0,0,0,0,
599,-1,-1,-1,-1,0,0,
600,1,2,2,2,2,0,
601,1,-1,-1,-2,-1,-1,
602,-1,-1,-1,-1,0,-1,
603,0,-1,2,-1,-1,-1,
604,2,2,2,2,2,2,
605,0,0,0,0,0,0,
606,-2,-2,-2,-2,-2,-2,
607,0,0,0,0,0,0,
608,0,0,0,0,0,0,
609,1,-1,0,0,0,0,
610,-1,-1,-1,-1,-1,-1,
611,0,0,0,0,0,3,
612,0,0,0,0,0,0,
613,-1,-1,2,2,-2,-2,
614,0,0,2,0,0,0,
615,1,-2,-2,-1,0,-1,
616,0,0,0,0,0,0,
617,-1,-1,2,2,2,2,
618,0,0,0,0,0,0,
619,2,0,0,0,-2,-2,
620,0,0,0,0,0,0,
621,1,-2,-1,-1,-1,-1,
622,-1,2,2,2,2,2,
623,-1,-1,0,0,0,-1,
624,0,0,0,-1,-1,-1,
625,0,0,0,0,0,0,
626,-2,-2,-2,-2,-2,-2,
627,2,2,0,0,2,2,
628,0,0,0,0,-1,0,
629,0,0,0,0,0,0,
630,1,-2,-2,-2,-2,-1,
631,0,0,0,0,0,0,
632,0,0,0,0,0,0,
633,-2,-2,-2,-2,-2,-2,
634,1,2,2,2,2,2,
635,1,2,2,0,0,2,
636,2,2,2,2,2,2,
637,0,0,0,0,0,0,
638,1,4,3,2,2,2,
639,-1,0,0,0,0,0,
640,1,-2,-2,-2,-1,-1,
641,0,0,0,0,-1,-1,
642,-1,-1,-1,-1,-1,-1,
643,-1,-1,-1,0,0,0,
644,0,0,0,0,0,0,
645,2,2,2,2,2,2,
646,8,7,6,5,4,3,
647,-1,-1,-1,-1,-2,-2,
648,0,0,0,0,0,0,
649,0,0,0,0,0,0,
650,0,0,0,0,0,0,
651,0,0,0,0,0,0,
652,-1,2,-1,-1,-1,-2,
653,0,0,0,0,0,0,
654,-1,-1,-1,-1,-1,-1,
655,-1,-1,-2,-2,-1,-1,
656,1,2,2,2,2,2,
657,2,2,2,2,2,2,
658,-1,-1,-1,-1,-1,-1,
659,0,0,0,0,0,0,
660,-1,-1,-1,-1,-1,-1,
661,0,0,0,0,0,0,
662,3,3,2,0,0,0,
663,2,2,3,3,3,3,
664,1,2,0,0,2,2,
665,0,-1,-1,-1,-1,-1,
666,0,0,2,0,0,0,
667,0,0,0,0,0,0,
668,-2,-2,-1,0,-1,-1,
669,-1,-1,-1,-1,0,0,
670,-2,-2,-2,-2,-2,-2,
671,0,0,0,-1,-1,0,
672,0,0,0,0,0,0,
673,0,0,0,0,0,0,
674,0,0,0,0,0,0,
675,0,0,0,0,0,2,
676,0,0,0,-2,-1,0,
677,-2,-2,-2,-2,-2,-2,
678,0,0,3,2,0,0,
679,0,0,0,0,0,0,
680,0,0,0,-1,-1,-1,
681,0,0,0,0,0,0,
682,-2,-2,-2,-2,-2,-2,
683,0,0,0,0,0,0,
684,0,0,0,0,0,0,
685,0,0,0,0,0,0,
686,0,0,0,0,0,0,
687,1,2,0,0,0,0,
688,0,0,0,0,0,0,
689,0,0,0,0,0,0,
690,0,0,2,2,2,2,
691,-1,0,0,0,0,-1,
692,-2,-2,-2,-2,-2,-2,
693,0,0,0,0,-1,-1,
694,1,-1,2,0,0,-1,
695,0,0,0,0,0,0,
696,0,0,0,0,0,0,
697,0,0,0,0,0,0,
698,0,0,0,0,0,0,
699,0,0,0,-2,-2,-2,
700,0,0,-1,2,0,0,
701,0,0,2,0,0,0,
702,2,0,0,0,0,0,
703,-1,-1,-1,0,0,0,
704,1,2,2,0,0,0,
705,-2,-2,-2,-1,-1,0,
706,-1,-1,-1,-1,-1,-1,
707,-1,-1,-1,0,-1,-1,
708,0,0,0,0,2,0,
709,-2,-2,-2,-2,-1,2,
710,0,0,0,0,0,0,
711,0,0,0,0,0,0,
712,0,0,0,0,0,0,
713,0,0,0,2,0,0,
714,-1,-1,-1,-1,-1,-1,
715,-1,-1,-1,0,0,-2,
716,0,0,0,0,0,0,
717,-2,-2,-2,-2,-2,-2,
718,0,0,0,0,0,0,
719,1,2,3,2,0,0,
720,-1,-1,-1,-1,-1,-1,
721,2,3,2,0,0,0,
722,-1,-1,-1,-1,-1,-1,
723,0,0,2,2,2,2,
724,-2,-2,-2,-2,-2,-2,
725,0,0,0,0,0,0,
726,0,0,0,0,0,0,
727,0,0,0,0,0,0,
728,1,-1,-1,-1,-1,-2,
729,-2,-2,-2,-2,-2,-2,
730,0,0,2,0,0,0,
731,-1,-1,-1,-1,-1,-1,
732,-1,-1,-1,-2,-2,-2,
733,1,-2,-2,-2,-2,-2,
734,0,0,0,0,0,0,
735,0,0,0,0,0,0,
736,0,0,0,0,0,0,
737,0,0,0,0,0,0,
738,0,0,0,-2,-2,-1,
739,-2,-2,-2,-2,-2,-2,
740,0,0,0,0,-2,-2,
741,1,-1,0,0,0,0,
742,0,0,0,0,0,0,
743,-1,-1,-1,-1,-1,-1,
744,0,0,0,0,-1,0,
745,0,0,-1,2,2,2,
746,0,0,0,0,0,0,
747,2,0,0,0,0,0,
748,1,2,0,0,2,0,
749,-1,0,0,0,0,0,
750,0,0,0,0,0,0,
751,0,0,0,0,0,0,
752,0,0,0,0,0,0,
753,0,0,0,0,0,2,
754,1,2,-1,-1,-1,-1,
755,0,0,0,0,0,0,
756,-2,-2,-2,-2,-2,-2,
757,-2,-2,-2,-2,-2,-2,
758,0,0,0,0,0,0,
759,-1,-1,2,0,0,0,
760,-1,-1,-1,-1,-1,-1,
761,-2,-2,-2,-2,-2,-2,
762,0,0,2,0,0,0,
763,-1,0,0,0,0,0,
764,0,0,0,0,0,0,
765,1,-2,-2,-2,-2,-2,
766,0,0,0,0,0,0,
767,0,0,0,0,0,0,
768,-2,-2,-2,-2,-2,-2,
769,1,2,2,2,2,2,
770,2,2,2,2,2,2,
771,0,0,0,0,0,0,
772,0,0,0,0,0,0,
773,0,0,0,0,0,0,
774,2,2,0,0,0,0,
775,1,-2,-1,-1,-1,-1,
776,0,0,0,0,0,0,
777,0,-1,0,0,0,0,
778,-1,-1,-1,-1,-1,-1,
779,-1,-1,-1,-2,-2,-2,
780,1,2,2,2,0,0,
781,-2,-2,-1,0,-1,-1,
782,-1,0,-1,-1,0,0,
783,0,0,0,0,0,0,
784,-1,-1,-2,-2,-2,-2,
785,0,0,0,0,0,0,
786,0,0,0,0,0,0,
787,0,0,0,0,0,0,
788,0,0,0,0,0,0,
789,0,0,0,0,0,-1,
790,0,0,0,0,0,0,
791,1,2,2,2,2,2,
792,-1,-1,-1,-1,-1,-1,
793,0,0,-1,-1,2,0,
794,-2,-2,-2,-2,-2,-2,
795,-2,-2,-2,-2,-2,-2,
796,0,0,0,0,0,0,
797,0,0,0,0,0,0,
798,0,0,0,2,0,0,
799,-1,-1,-2,-1,0,-1,
800,2,0,0,0,0,0,
801,2,0,0,0,0,0,
802,2,2,4,4,3,2,
803,2,2,2,2,2,2,
804,0,0,0,0,0,0,
805,0,0,0,0,0,0,
806,0,0,0,0,0,0,
807,-1,-1,-2,-2,-2,-2,
808,-1,-1,-1,-1,-1,-1,
809,0,0,0,0,0,0,
810,-1,0,0,0,0,0,
811,-1,-1,-1,-1,-1,-1,
812,1,-2,-2,-2,-2,-2,
813,-2,-1,-1,0,-1,-1,
814,-1,-1,0,0,0,0,
815,1,-2,-2,-2,-2,-2,
816,0,0,0,0,0,0,
